銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
(株)オリエントコーポレーション,8585,東証1部,その他金融業,2010年11月4日,52円買い,2010年12月30日,95円売り,43円,82.69%(1.83倍)
日本コロムビア(株),6791,東証1部,情報・通信業,2010年10月29日,460円買い,2010年12月30日,840円売り,380円,82.61%(1.83倍)
(株)タチエス,7239,東証1部,輸送用機器,2010年2月8日,751円買い,2010年12月6日,1370円売り,619円,82.42%(1.82倍)
(株)ガリバーインターナショナル,7599,東証1部,卸売業,2010年5月26日,257.5円買い,2010年10月20日,469.5円売り,212円,82.33%(1.82倍)
チタン工業(株),4098,東証1部,化学,2010年1月4日,177円買い,2010年12月30日,322円売り,145円,81.92%(1.82倍)
(株)乃村工藝社,9716,東証1部,サービス業,2010年2月19日,201円買い,2010年4月26日,365円売り,164円,81.59%(1.82倍)
日本アジア投資(株),8518,東証1部,証券商品先物,2010年2月9日,43円買い,2010年4月15日,78円売り,35円,81.4%(1.81倍)
明和地所(株),8869,東証1部,不動産業,2010年2月8日,403円買い,2010年4月28日,730円売り,327円,81.14%(1.81倍)
ティアック(株),6803,東証1部,電気機器,2010年3月4日,30円買い,2010年4月27日,54円売り,24円,80%(1.8倍)
サムコ(株),6387,東証1部,機械,2010年11月4日,634.17円買い,2010年12月6日,1140.83円売り,506.67円,79.89%(1.8倍)
(株)富士通ゼネラル,6755,東証1部,電気機器,2010年1月13日,286円買い,2010年5月13日,514円売り,228円,79.72%(1.8倍)
サンワテクノス(株),8137,東証1部,卸売業,2010年2月16日,387円買い,2010年12月29日,695円売り,308円,79.59%(1.8倍)
東邦チタニウム(株),5727,東証1部,非鉄金属,2010年1月4日,1407円買い,2010年4月5日,2525円売り,1118円,79.46%(1.79倍)
五洋建設(株),1893,東証1部,建設業,2010年1月4日,91円買い,2010年4月26日,163円売り,72円,79.12%(1.79倍)
パナソニック　デバイスＳＵＮＸ(株),6860,東証1部,電気機器,2010年1月4日,304円買い,2010年7月29日,544円売り,240円,78.95%(1.79倍)
(株)アイロムホールディングス,2372,東証1部,サービス業,2010年11月2日,148.6円買い,2010年12月9日,265.6円売り,117円,78.73%(1.79倍)
(株)ランド,8918,東証1部,不動産業,2010年10月19日,14円買い,2010年12月15日,25円売り,11円,78.57%(1.79倍)
(株)ドクターシーラボ,4924,東証1部,化学,2010年1月29日,1814円買い,2010年12月13日,3235円売り,1421円,78.34%(1.78倍)
日本無線(株),6751,東証1部,電気機器,2010年2月10日,156円買い,2010年12月17日,277円売り,121円,77.56%(1.78倍)
(株)ＪＶＣケンウッド,6632,東証1部,電気機器,2010年8月25日,206円買い,2010年11月18日,365円売り,159円,77.18%(1.77倍)
白銅(株),7637,東証1部,卸売業,2010年1月14日,537円買い,2010年5月13日,948円売り,411円,76.54%(1.77倍)
(株)イトーキ,7972,東証1部,その他製品,2010年2月10日,169円買い,2010年4月15日,298円売り,129円,76.33%(1.76倍)
日本ゼオン(株),4205,東証1部,化学,2010年1月27日,417円買い,2010年10月14日,733円売り,316円,75.78%(1.76倍)
澤藤電機(株),6901,東証1部,電気機器,2010年3月2日,131円買い,2010年6月24日,230円売り,99円,75.57%(1.76倍)
(株)ＥＭシステムズ,4820,東証1部,情報・通信業,2010年2月15日,405円買い,2010年6月15日,710円売り,305円,75.31%(1.75倍)
(株)マクロミル,3730,東証1部,情報・通信業,2010年2月9日,281円買い,2010年12月20日,492.5円売り,211.5円,75.27%(1.75倍)
(株)ＭｏｎｏｔａＲＯ,3064,東証1部,小売業,2010年1月8日,131.38円買い,2010年4月23日,229.88円売り,98.5円,74.98%(1.75倍)
(株)コスモス薬品,3349,東証1部,小売業,2010年2月10日,1782円買い,2010年12月30日,3115円売り,1333円,74.8%(1.75倍)
(株)丸栄,8245,東証1部,小売業,2010年10月29日,75円買い,2010年12月16日,131円売り,56円,74.67%(1.75倍)
(株)ジャックス,8584,東証1部,その他金融業,2010年10月4日,140円買い,2010年12月15日,244円売り,104円,74.29%(1.74倍)
ローランド(株),7944,東証1部,その他製品,2010年2月1日,766円買い,2010年4月26日,1331円売り,565円,73.76%(1.74倍)
(株)あおぞら銀行,8304,東証1部,銀行業,2010年1月4日,99円買い,2010年12月29日,172円売り,73円,73.74%(1.74倍)
ナブテスコ(株),6268,東証1部,機械,2010年2月8日,998円買い,2010年12月29日,1733円売り,735円,73.65%(1.74倍)
ダイトエレクトロン(株),7609,東証1部,卸売業,2010年1月5日,397円買い,2010年12月17日,689円売り,292円,73.55%(1.74倍)
沢井製薬(株),4555,東証1部,医薬品,2010年1月7日,2555円買い,2010年6月25日,4415円売り,1860円,72.8%(1.73倍)
中国工業(株),5974,東証1部,金属製品,2010年2月17日,800円買い,2010年6月24日,1380円売り,580円,72.5%(1.73倍)
沖電線(株),5815,東証1部,非鉄金属,2010年2月15日,104円買い,2010年6月25日,179円売り,75円,72.12%(1.72倍)
(株)丹青社,9743,東証1部,サービス業,2010年11月2日,129.23円買い,2010年12月30日,222.31円売り,93.08円,72.02%(1.72倍)
市光工業(株),7244,東証1部,電気機器,2010年3月4日,138円買い,2010年12月22日,237円売り,99円,71.74%(1.72倍)
シロキ工業(株),7243,東証1部,輸送用機器,2010年1月7日,184円買い,2010年12月21日,315円売り,131円,71.2%(1.71倍)
モリテック　スチール(株),5986,東証1部,金属製品,2010年1月5日,162円買い,2010年12月28日,277円売り,115円,70.99%(1.71倍)
エイベックス・グループＨＤ(株),7860,東証1部,情報・通信業,2010年1月4日,743円買い,2010年9月1日,1270円売り,527円,70.93%(1.71倍)
(株)パイロットコーポレーション,7846,東証1部,その他製品,2010年2月1日,971円買い,2010年9月9日,1659円売り,688円,70.85%(1.71倍)
兼松日産農林(株),7961,東証1部,その他製品,2010年11月2日,81円買い,2010年12月20日,138円売り,57円,70.37%(1.7倍)
(株)エーアンドエーマテリアル,5391,東証1部,ガラス土石製品,2010年11月2日,37円買い,2010年12月8日,63円売り,26円,70.27%(1.7倍)
明和産業(株),8103,東証1部,卸売業,2010年2月8日,168円買い,2010年4月30日,286円売り,118円,70.24%(1.7倍)
明星工業(株),1976,東証1部,建設業,2010年1月27日,187円買い,2010年10月7日,318円売り,131円,70.05%(1.7倍)
日特建設(株),1929,東証1部,建設業,2010年1月7日,160円買い,2010年4月30日,272円売り,112円,70%(1.7倍)
(株)シンニッタン,6319,東証1部,鉄鋼,2010年8月31日,212円買い,2010年12月30日,360円売り,148円,69.81%(1.7倍)
(株)ＭＯＲＥＳＣＯ,5018,東証1部,石油石炭製品,2010年1月13日,489円買い,2010年12月30日,830円売り,341円,69.73%(1.7倍)
イオンディライト(株),9787,東証1部,サービス業,2010年2月5日,1133円買い,2010年6月21日,1911円売り,778円,68.67%(1.69倍)
(株)ユナイテッドアローズ,7606,東証1部,小売業,2010年1月5日,770円買い,2010年5月7日,1297円売り,527円,68.44%(1.68倍)
三菱製鋼(株),5632,東証1部,鉄鋼,2010年3月1日,152円買い,2010年12月21日,256円売り,104円,68.42%(1.68倍)
サンケン電気(株),6707,東証1部,電気機器,2010年2月9日,245円買い,2010年5月14日,412円売り,167円,68.16%(1.68倍)
愛知製鋼(株),5482,東証1部,鉄鋼,2010年6月9日,338円買い,2010年12月22日,568円売り,230円,68.05%(1.68倍)
(株)マーベラスＡＱＬ,7844,東証1部,情報・通信業,2010年7月21日,100.1円買い,2010年12月30日,168円売り,67.9円,67.83%(1.68倍)
ミサワホーム(株),1722,東証1部,建設業,2010年1月4日,288円買い,2010年5月6日,480円売り,192円,66.67%(1.67倍)
(株)ＡＯＫＩホールディングス,8214,東証1部,小売業,2010年2月10日,450.5円買い,2010年12月27日,749.5円売り,299円,66.37%(1.66倍)
イノテック(株),9880,東証1部,卸売業,2010年9月10日,369円買い,2010年12月14日,613円売り,244円,66.12%(1.66倍)
リョービ(株),5851,東証1部,非鉄金属,2010年1月29日,224円買い,2010年12月30日,372円売り,148円,66.07%(1.66倍)
日本バルカー工業(株),7995,東証1部,化学,2010年2月8日,162円買い,2010年10月6日,269円売り,107円,66.05%(1.66倍)
(株)大阪チタニウムテクノロジーズ,5726,東証1部,非鉄金属,2010年1月4日,2555円買い,2010年4月5日,4240円売り,1685円,65.95%(1.66倍)
(株)トプコン,7732,東証1部,精密機器,2010年10月29日,310円買い,2010年12月21日,514円売り,204円,65.81%(1.66倍)
(株)東京都民銀行,8339,東証1部,銀行業,2010年11月1日,746円買い,2010年12月21日,1235円売り,489円,65.55%(1.66倍)
(株)ネクシィーズ,4346,東証1部,サービス業,2010年1月4日,226.9円買い,2010年4月26日,375円売り,148.1円,65.27%(1.65倍)
(株)巴コーポレーション,1921,東証1部,建設業,2010年7月21日,172円買い,2010年12月8日,284円売り,112円,65.12%(1.65倍)
富士重工業(株),7270,東証1部,輸送用機器,2010年2月25日,395円買い,2010年12月21日,651円売り,256円,64.81%(1.65倍)
富士石油(株),5017,東証1部,石油石炭製品,2010年11月2日,337円買い,2010年12月30日,555円売り,218円,64.69%(1.65倍)
日本ＣＭＫ(株),6958,東証1部,電気機器,2010年11月1日,283円買い,2010年12月17日,466円売り,183円,64.66%(1.65倍)
フィデアホールディングス(株),8713,東証1部,銀行業,2010年2月10日,132円買い,2010年10月18日,217円売り,85円,64.39%(1.64倍)
日野自動車(株),7205,東証1部,輸送用機器,2010年1月7日,316円買い,2010年5月13日,517円売り,201円,63.61%(1.64倍)
石原産業(株),4028,東証1部,化学,2010年10月25日,52円買い,2010年12月27日,85円売り,33円,63.46%(1.63倍)
住友精密工業(株),6355,東証1部,機械,2010年2月16日,245円買い,2010年12月29日,400円売り,155円,63.27%(1.63倍)
クボテック(株),7709,東証1部,精密機器,2010年11月4日,191.8円買い,2010年12月21日,313円売り,121.2円,63.19%(1.63倍)
(株)ランドビジネス,8944,東証1部,不動産業,2010年10月29日,118.1円買い,2010年12月27日,192.7円売り,74.6円,63.17%(1.63倍)
大末建設(株),1814,東証1部,建設業,2010年10月21日,27円買い,2010年12月7日,44円売り,17円,62.96%(1.63倍)
津田駒工業(株),6217,東証1部,機械,2010年1月6日,116円買い,2010年4月9日,189円売り,73円,62.93%(1.63倍)
クックパッド(株),2193,東証1部,サービス業,2010年3月1日,755円買い,2010年8月3日,1230円売り,475円,62.91%(1.63倍)
(株)ライトオン,7445,東証1部,小売業,2010年10月26日,325円買い,2010年12月14日,529円売り,204円,62.77%(1.63倍)
フタバ産業(株),7241,東証1部,輸送用機器,2010年10月26日,392円買い,2010年12月14日,638円売り,246円,62.76%(1.63倍)
(株)イエローハット,9882,東証1部,卸売業,2010年10月29日,513円買い,2010年12月29日,833円売り,320円,62.38%(1.62倍)
日本ピラー工業(株),6490,東証1部,機械,2010年10月15日,384円買い,2010年12月21日,623円売り,239円,62.24%(1.62倍)
ユニデン(株),6815,東証1部,電気機器,2010年10月29日,161円買い,2010年11月25日,261円売り,100円,62.11%(1.62倍)
ＭＵＴＯＨホールディングス(株),7999,東証1部,電気機器,2010年7月30日,124円買い,2010年10月5日,201円売り,77円,62.1%(1.62倍)
(株)カカクコム,2371,東証1部,サービス業,2010年5月25日,395円買い,2010年12月15日,640円売り,245円,62.03%(1.62倍)
(株)マクニカ,7631,東証1部,卸売業,2010年1月13日,1342円買い,2010年4月30日,2172円売り,830円,61.85%(1.62倍)
(株)日本Ｍ＆Ａセンター,2127,東証1部,サービス業,2010年8月12日,379円買い,2010年12月16日,612.5円売り,233.5円,61.61%(1.62倍)
(株)アルバック,6728,東証1部,電気機器,2010年8月25日,1331円買い,2010年12月27日,2148円売り,817円,61.38%(1.61倍)
(株)山善,8051,東証1部,卸売業,2010年2月9日,292円買い,2010年6月21日,470円売り,178円,60.96%(1.61倍)
日東精工(株),5957,東証1部,金属製品,2010年1月5日,221円買い,2010年4月30日,355円売り,134円,60.63%(1.61倍)
出光興産(株),5019,東証1部,石油石炭製品,2010年1月4日,1357.5円買い,2010年12月29日,2180円売り,822.5円,60.59%(1.61倍)
昭和電線ホールディングス(株),5805,東証1部,非鉄金属,2010年11月2日,60円買い,2010年12月29日,96円売り,36円,60%(1.6倍)
ファースト住建(株),8917,東証1部,不動産業,2010年3月11日,544円買い,2010年12月30日,869円売り,325円,59.74%(1.6倍)
タカタ(株),7312,東証1部,輸送用機器,2010年8月17日,1612円買い,2010年12月7日,2571円売り,959円,59.49%(1.59倍)
ダイハツ工業(株),7262,東証1部,輸送用機器,2010年5月26日,792円買い,2010年12月28日,1260円売り,468円,59.09%(1.59倍)
(株)明電舎,6508,東証1部,電気機器,2010年8月25日,246円買い,2010年12月29日,391円売り,145円,58.94%(1.59倍)
(株)アクセル,6730,東証1部,電気機器,2010年10月6日,1492円買い,2010年12月15日,2371円売り,879円,58.91%(1.59倍)
(株)ダイフク,6383,東証1部,機械,2010年11月2日,373円買い,2010年12月15日,592円売り,219円,58.71%(1.59倍)
大同特殊鋼(株),5471,東証1部,鉄鋼,2010年2月1日,312円買い,2010年12月14日,495円売り,183円,58.65%(1.59倍)
大日本スクリーン製造(株),7735,東証1部,電気機器,2010年8月31日,368円買い,2010年12月29日,583円売り,215円,58.42%(1.58倍)
セガサミーホールディングス(株),6460,東証1部,機械,2010年2月10日,1004円買い,2010年12月21日,1589円売り,585円,58.27%(1.58倍)
(株)トーア紡コーポレーション,3204,東証1部,繊維製品,2010年1月27日,55円買い,2010年4月26日,87円売り,32円,58.18%(1.58倍)
サンデン(株),6444,東証1部,機械,2010年2月8日,229円買い,2010年3月10日,362円売り,133円,58.08%(1.58倍)
(株)パスコ,9232,東証1部,空運業,2010年2月1日,162円買い,2010年11月24日,256円売り,94円,58.02%(1.58倍)
エムスリー(株),2413,東証1部,サービス業,2010年1月5日,230.25円買い,2010年12月7日,363.75円売り,133.5円,57.98%(1.58倍)
(株)加藤製作所,6390,東証1部,機械,2010年2月2日,145円買い,2010年4月15日,229円売り,84円,57.93%(1.58倍)
太平洋工業(株),7250,東証1部,輸送用機器,2010年11月2日,311円買い,2010年12月15日,491円売り,180円,57.88%(1.58倍)
福井コンピュータホールディングス(株),9790,東証1部,情報・通信業,2010年2月12日,287円買い,2010年12月29日,453円売り,166円,57.84%(1.58倍)
東芝機械(株),6104,東証1部,機械,2010年8月24日,269円買い,2010年12月17日,424円売り,155円,57.62%(1.58倍)
ＮＳＷ,9739,東証1部,情報・通信業,2010年2月10日,267円買い,2010年5月12日,420円売り,153円,57.3%(1.57倍)
(株)ひらまつ,2764,東証1部,小売業,2010年1月4日,114.32円買い,2010年7月30日,179.82円売り,65.5円,57.3%(1.57倍)
コマツ,6301,東証1部,機械,2010年7月1日,1591円買い,2010年12月17日,2500円売り,909円,57.13%(1.57倍)
(株)クレスコ,4674,東証1部,情報・通信業,2010年11月2日,347円買い,2010年12月29日,545円売り,198円,57.06%(1.57倍)
(株)ゴールドウイン,8111,東証1部,繊維製品,2010年10月29日,149円買い,2010年11月22日,234円売り,85円,57.05%(1.57倍)
(株)ウェザーニューズ,4825,東証1部,情報・通信業,2010年2月15日,1004円買い,2010年12月30日,1574円売り,570円,56.77%(1.57倍)
