銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
(株)システムインテグレータ,3826,東証1部,情報・通信業,2010年10月18日,138.5円買い,2010年12月15日,198.75円売り,60.25円,43.5%(1.44倍)
(株)マキタ,6586,東証1部,機械,2010年7月2日,2363円買い,2010年12月14日,3390円売り,1027円,43.46%(1.43倍)
大日精化工業(株),4116,東証1部,化学,2010年2月19日,318円買い,2010年12月21日,456円売り,138円,43.4%(1.43倍)
(株)アイネス,9742,東証1部,情報・通信業,2010年10月26日,467円買い,2010年12月15日,669円売り,202円,43.25%(1.43倍)
(株)大真空,6962,東証1部,電気機器,2010年11月11日,301円買い,2010年12月22日,431円売り,130円,43.19%(1.43倍)
中外炉工業(株),1964,東証1部,建設業,2010年5月26日,220円買い,2010年12月15日,315円売り,95円,43.18%(1.43倍)
東海染工(株),3577,東証1部,繊維製品,2010年11月2日,65円買い,2010年11月22日,93円売り,28円,43.08%(1.43倍)
ジャパンベストレスキューシステム(株),2453,東証1部,サービス業,2010年2月15日,115.8円買い,2010年9月13日,165.6円売り,49.8円,43.01%(1.43倍)
(株)ピクセラ,6731,東証1部,電気機器,2010年11月2日,186円買い,2010年12月9日,266円売り,80円,43.01%(1.43倍)
(株)エスクリ,2196,東証1部,サービス業,2010年8月25日,160円買い,2010年12月28日,228.67円売り,68.67円,42.92%(1.43倍)
丸文(株),7537,東証1部,卸売業,2010年10月12日,348円買い,2010年12月20日,497円売り,149円,42.82%(1.43倍)
昭光通商(株),8090,東証1部,卸売業,2010年2月12日,103円買い,2010年4月27日,147円売り,44円,42.72%(1.43倍)
シンフォニアテクノロジー(株),6507,東証1部,電気機器,2010年11月2日,155円買い,2010年12月29日,221円売り,66円,42.58%(1.43倍)
ヘリオス　テクノ　ホールディング(株),6927,東証1部,電気機器,2010年10月28日,174円買い,2010年11月8日,248円売り,74円,42.53%(1.43倍)
(株)図研,6947,東証1部,電気機器,2010年10月20日,506円買い,2010年12月17日,721円売り,215円,42.49%(1.42倍)
ニッタ(株),5186,東証1部,ゴム製品,2010年8月31日,1132円買い,2010年12月29日,1613円売り,481円,42.49%(1.42倍)
ルネサスエレクトロニクス(株),6723,東証1部,電気機器,2010年11月2日,591円買い,2010年11月29日,842円売り,251円,42.47%(1.42倍)
日工(株),6306,東証1部,機械,2010年8月25日,210円買い,2010年12月20日,299円売り,89円,42.38%(1.42倍)
東京鐵鋼(株),5445,東証1部,鉄鋼,2010年11月2日,161円買い,2010年12月15日,229円売り,68円,42.24%(1.42倍)
船井電機(株),6839,東証1部,電気機器,2010年8月23日,2349円買い,2010年12月14日,3340円売り,991円,42.19%(1.42倍)
日揮(株),1963,東証1部,建設業,2010年8月25日,1284円買い,2010年12月16日,1825円売り,541円,42.13%(1.42倍)
(株)神戸製鋼所,5406,東証1部,鉄鋼,2010年2月19日,157円買い,2010年4月15日,223円売り,66円,42.04%(1.42倍)
(株)ゼンショーホールディングス,7550,東証1部,小売業,2010年1月4日,645円買い,2010年6月16日,916円売り,271円,42.02%(1.42倍)
前田建設工業(株),1824,東証1部,建設業,2010年8月25日,200円買い,2010年12月20日,284円売り,84円,42%(1.42倍)
保土谷化学工業(株),4112,東証1部,化学,2010年10月15日,231円買い,2010年12月30日,328円売り,97円,41.99%(1.42倍)
日鉄住金テックスエンジ(株),1819,東証1部,建設業,2010年5月25日,281円買い,2010年12月13日,399円売り,118円,41.99%(1.42倍)
ＴＨＫ(株),6481,東証1部,機械,2010年8月25日,1374円買い,2010年12月15日,1948円売り,574円,41.78%(1.42倍)
(株)東京機械製作所,6335,東証1部,機械,2010年11月2日,60円買い,2010年12月17日,85円売り,25円,41.67%(1.42倍)
三井海洋開発(株),6269,東証1部,機械,2010年9月1日,1077円買い,2010年12月8日,1525円売り,448円,41.6%(1.42倍)
日本光電,6849,東証1部,電気機器,2010年2月5日,1405円買い,2010年4月9日,1989円売り,584円,41.57%(1.42倍)
(株)ダイセキ環境ソリューション,1712,東証1部,建設業,2010年10月8日,551円買い,2010年12月16日,780円売り,229円,41.56%(1.42倍)
イーピーエス(株),4282,東証1部,サービス業,2010年1月18日,840円買い,2010年6月22日,1189円売り,349円,41.55%(1.42倍)
トモニホールディングス(株),8600,東証1部,銀行業,2010年9月9日,253円買い,2010年12月15日,358円売り,105円,41.5%(1.42倍)
フォスター電機(株),6794,東証1部,電気機器,2010年9月2日,1729円買い,2010年12月27日,2443円売り,714円,41.3%(1.41倍)
(株)トーカイ,9729,東証1部,サービス業,2010年3月19日,990円買い,2010年12月30日,1398円売り,408円,41.21%(1.41倍)
ＮＴＮ(株),6472,東証1部,機械,2010年8月31日,318円買い,2010年12月14日,449円売り,131円,41.19%(1.41倍)
(株)エディオン,2730,東証1部,小売業,2010年10月15日,552円買い,2010年12月16日,779円売り,227円,41.12%(1.41倍)
はるやま商事(株),7416,東証1部,小売業,2010年10月21日,309円買い,2010年12月30日,436円売り,127円,41.1%(1.41倍)
(株)ノリタケカンパニーリミテド,5331,東証1部,ガラス土石製品,2010年2月1日,234円買い,2010年4月30日,330円売り,96円,41.03%(1.41倍)
帝人(株),3401,東証1部,繊維製品,2010年6月9日,249円買い,2010年12月29日,351円売り,102円,40.96%(1.41倍)
光世証券(株),8617,東証1部,証券商品先物,2010年11月4日,66円買い,2010年12月17日,93円売り,27円,40.91%(1.41倍)
日東紡(株),3110,東証1部,ガラス土石製品,2010年8月25日,154円買い,2010年12月7日,217円売り,63円,40.91%(1.41倍)
東洋電機製造(株),6505,東証1部,電気機器,2010年11月2日,335円買い,2010年12月30日,472円売り,137円,40.9%(1.41倍)
(株)ユーシン精機,6482,東証1部,機械,2010年1月6日,1289円買い,2010年3月3日,1816円売り,527円,40.88%(1.41倍)
(株)リンクアンドモチベーション,2170,東証1部,サービス業,2010年2月16日,46.25円買い,2010年12月13日,65.13円売り,18.88円,40.82%(1.41倍)
富士紡ホールディングス(株),3104,東証1部,繊維製品,2010年8月25日,103円買い,2010年12月15日,145円売り,42円,40.78%(1.41倍)
ＮＯＫ(株),7240,東証1部,輸送用機器,2010年2月8日,1202円買い,2010年12月30日,1692円売り,490円,40.77%(1.41倍)
元気寿司(株),9828,東証1部,小売業,2010年10月26日,702円買い,2010年12月8日,988円売り,286円,40.74%(1.41倍)
フルサト工業(株),8087,東証1部,卸売業,2010年10月28日,401円買い,2010年12月17日,564円売り,163円,40.65%(1.41倍)
ケイヒン(株),9312,東証1部,倉庫運輸関連,2010年11月2日,74円買い,2010年12月14日,104円売り,30円,40.54%(1.41倍)
(株)日立ハイテクノロジーズ,8036,東証1部,卸売業,2010年8月26日,1356円買い,2010年12月16日,1905円売り,549円,40.49%(1.4倍)
(株)ＩＨＩ,7013,東証1部,機械,2010年2月1日,136円買い,2010年4月28日,191円売り,55円,40.44%(1.4倍)
品川リフラクトリーズ(株),5351,東証1部,ガラス土石製品,2010年11月2日,176円買い,2010年12月29日,247円売り,71円,40.34%(1.4倍)
(株)筑波銀行,8338,東証1部,銀行業,2010年8月12日,214円買い,2010年12月17日,300円売り,86円,40.19%(1.4倍)
(株)みずほフィナンシャルグループ,8411,東証1部,銀行業,2010年10月4日,112円買い,2010年12月29日,157円売り,45円,40.18%(1.4倍)
タツタ電線(株),5809,東証1部,非鉄金属,2010年11月2日,177円買い,2010年12月30日,248円売り,71円,40.11%(1.4倍)
三菱鉛筆(株),7976,東証1部,その他製品,2010年2月8日,1105円買い,2010年9月14日,1548円売り,443円,40.09%(1.4倍)
三井化学(株),4183,東証1部,化学,2010年8月25日,212円買い,2010年12月29日,297円売り,85円,40.09%(1.4倍)
(株)電算システム,3630,東証1部,情報・通信業,2010年1月4日,282円買い,2010年6月24日,395円売り,113円,40.07%(1.4倍)
(株)グルメ杵屋,9850,東証1部,小売業,2010年10月25日,337円買い,2010年12月8日,472円売り,135円,40.06%(1.4倍)
ホソカワミクロン(株),6277,東証1部,機械,2010年11月4日,255円買い,2010年12月24日,357円売り,102円,40%(1.4倍)
藤倉化成(株),4620,東証1部,化学,2010年2月12日,413円買い,2010年12月21日,578円売り,165円,39.95%(1.4倍)
ブラザー工業(株),6448,東証1部,電気機器,2010年7月22日,890円買い,2010年12月9日,1245円売り,355円,39.89%(1.4倍)
第一生命保険(株),8750,東証1部,保険業,2010年10月28日,975円買い,2010年12月14日,1363円売り,388円,39.79%(1.4倍)
(株)オーハシテクニカ,7628,東証1部,卸売業,2010年2月8日,480円買い,2010年7月12日,671円売り,191円,39.79%(1.4倍)
ソニーフィナンシャルホールディングス(株),8729,東証1部,保険業,2010年1月4日,1212.5円買い,2010年4月30日,1695円売り,482.5円,39.79%(1.4倍)
(株)酉島製作所,6363,東証1部,機械,2010年9月1日,1238円買い,2010年12月29日,1730円売り,492円,39.74%(1.4倍)
メック(株),4971,東証1部,化学,2010年11月2日,292円買い,2010年12月29日,408円売り,116円,39.73%(1.4倍)
ＯＢＡＲＡ　ＧＲＯＵＰ(株),6877,東証1部,電気機器,2010年10月21日,668円買い,2010年12月20日,933円売り,265円,39.67%(1.4倍)
芙蓉総合リース(株),8424,東証1部,その他金融業,2010年7月22日,1929円買い,2010年12月6日,2692円売り,763円,39.55%(1.4倍)
(株)ＵＫＣホールディングス,3156,東証1部,卸売業,2010年10月25日,792円買い,2010年12月24日,1105円売り,313円,39.52%(1.4倍)
横浜ゴム(株),5101,東証1部,ゴム製品,2010年1月29日,343円買い,2010年7月29日,478円売り,135円,39.36%(1.39倍)
三洋化成工業(株),4471,東証1部,化学,2010年1月7日,486円買い,2010年12月30日,677円売り,191円,39.3%(1.39倍)
ポケットカード(株),8519,東証1部,その他金融業,2010年11月2日,176円買い,2010年12月29日,245円売り,69円,39.2%(1.39倍)
ＴＤＫ(株),6762,東証1部,電気機器,2010年8月25日,4240円買い,2010年12月13日,5900円売り,1660円,39.15%(1.39倍)
(株)一休,2450,東証1部,サービス業,2010年10月29日,315.5円買い,2010年12月15日,439円売り,123.5円,39.14%(1.39倍)
(株)ベスト電器,8175,東証1部,小売業,2010年8月31日,197円買い,2010年11月25日,274円売り,77円,39.09%(1.39倍)
(株)フコク,5185,東証1部,ゴム製品,2010年10月29日,622円買い,2010年12月21日,865円売り,243円,39.07%(1.39倍)
(株)オプト,2389,東証1部,サービス業,2010年10月22日,451.5円買い,2010年12月27日,627.5円売り,176円,38.98%(1.39倍)
大日本塗料(株),4611,東証1部,化学,2010年11月2日,77円買い,2010年12月17日,107円売り,30円,38.96%(1.39倍)
千代田インテグレ(株),6915,東証1部,電気機器,2010年10月4日,873円買い,2010年12月21日,1213円売り,340円,38.95%(1.39倍)
リンテック(株),7966,東証1部,その他製品,2010年6月7日,1578円買い,2010年12月14日,2192円売り,614円,38.91%(1.39倍)
日精樹脂工業(株),6293,東証1部,機械,2010年8月27日,206円買い,2010年12月17日,286円売り,80円,38.83%(1.39倍)
(株)デイ・シイ,5234,東証1部,ガラス土石製品,2010年11月1日,116円買い,2010年12月29日,161円売り,45円,38.79%(1.39倍)
ミニストップ(株),9946,東証1部,小売業,2010年3月18日,1014円買い,2010年12月30日,1407円売り,393円,38.76%(1.39倍)
(株)アシックス,7936,東証1部,その他製品,2010年5月25日,764円買い,2010年12月14日,1060円売り,296円,38.74%(1.39倍)
武蔵精密工業(株),7220,東証1部,輸送用機器,2010年2月26日,1691円買い,2010年4月30日,2346円売り,655円,38.73%(1.39倍)
(株)オンワードホールディングス,8016,東証1部,繊維製品,2010年2月16日,568円買い,2010年4月12日,788円売り,220円,38.73%(1.39倍)
小林産業(株),8077,東証1部,卸売業,2010年1月6日,137円買い,2010年4月5日,190円売り,53円,38.69%(1.39倍)
(株)ベリサーブ,3724,東証1部,情報・通信業,2010年10月15日,1001円買い,2010年12月16日,1388円売り,387円,38.66%(1.39倍)
(株)大気社,1979,東証1部,建設業,2010年10月29日,1082円買い,2010年12月15日,1500円売り,418円,38.63%(1.39倍)
マルカキカイ(株),7594,東証1部,卸売業,2010年2月10日,523円買い,2010年4月6日,725円売り,202円,38.62%(1.39倍)
(株)肥後銀行,8394,東証1部,銀行業,2010年10月15日,311円買い,2010年12月22日,431円売り,120円,38.59%(1.39倍)
ミツミ電機(株),6767,東証1部,電気機器,2010年8月25日,1161円買い,2010年12月9日,1609円売り,448円,38.59%(1.39倍)
(株)ミスミグループ本社,9962,東証1部,卸売業,2010年2月15日,1494円買い,2010年12月21日,2070円売り,576円,38.55%(1.39倍)
(株)ツツミ,7937,東証1部,その他製品,2010年2月15日,1702円買い,2010年4月15日,2358円売り,656円,38.54%(1.39倍)
(株)リケン,6462,東証1部,機械,2010年8月25日,265円買い,2010年12月29日,367円売り,102円,38.49%(1.38倍)
(株)パイオラックス,5988,東証1部,金属製品,2010年2月2日,1516円買い,2010年3月30日,2099円売り,583円,38.46%(1.38倍)
神東塗料(株),4615,東証1部,化学,2010年2月8日,104円買い,2010年12月30日,144円売り,40円,38.46%(1.38倍)
東京センチュリーリース(株),8439,東証1部,その他金融業,2010年10月4日,988円買い,2010年12月15日,1368円売り,380円,38.46%(1.38倍)
コスモ石油(株),5007,東証1部,石油石炭製品,2010年2月1日,195円買い,2010年4月26日,270円売り,75円,38.46%(1.38倍)
(株)電通,4324,東証1部,サービス業,2010年10月12日,1861円買い,2010年12月21日,2576円売り,715円,38.42%(1.38倍)
(株)だいこう証券ビジネス,8692,東証1部,証券商品先物,2010年11月2日,232円買い,2010年12月16日,321円売り,89円,38.36%(1.38倍)
ミネベア(株),6479,東証1部,電気機器,2010年9月1日,384円買い,2010年12月13日,531円売り,147円,38.28%(1.38倍)
ニチアス(株),5393,東証1部,ガラス土石製品,2010年10月13日,324円買い,2010年12月9日,448円売り,124円,38.27%(1.38倍)
芝浦メカトロニクス(株),6590,東証1部,電気機器,2010年11月4日,243円買い,2010年12月17日,336円売り,93円,38.27%(1.38倍)
(株)ナカノフドー建設,1827,東証1部,建設業,2010年2月10日,170円買い,2010年12月27日,235円売り,65円,38.24%(1.38倍)
(株)くらコーポレーション,2695,東証1部,小売業,2010年1月4日,1230.5円買い,2010年4月1日,1700円売り,469.5円,38.16%(1.38倍)
(株)みなと銀行,8543,東証1部,銀行業,2010年1月4日,105円買い,2010年12月22日,145円売り,40円,38.1%(1.38倍)
住友重機械工業(株),6302,東証1部,機械,2010年8月31日,389円買い,2010年12月14日,537円売り,148円,38.05%(1.38倍)
サイボウズ(株),4776,東証1部,情報・通信業,2010年11月4日,190.4円買い,2010年12月10日,262.6円売り,72.2円,37.92%(1.38倍)
シークス(株),7613,東証1部,卸売業,2010年10月29日,724円買い,2010年12月20日,998円売り,274円,37.85%(1.38倍)
日信工業(株),7230,東証1部,輸送用機器,2010年8月25日,1123円買い,2010年12月8日,1548円売り,425円,37.85%(1.38倍)
(株)ヤマダ・エスバイエルホーム,1919,東証1部,建設業,2010年11月2日,37円買い,2010年12月29日,51円売り,14円,37.84%(1.38倍)
日東工業(株),6651,東証1部,電気機器,2010年8月24日,675円買い,2010年12月17日,930円売り,255円,37.78%(1.38倍)
近畿車輛(株),7122,東証1部,輸送用機器,2010年11月2日,323円買い,2010年12月17日,445円売り,122円,37.77%(1.38倍)
トーカロ(株),3433,東証1部,金属製品,2010年8月25日,1148円買い,2010年12月21日,1581円売り,433円,37.72%(1.38倍)
ホシデン(株),6804,東証1部,電気機器,2010年11月1日,744円買い,2010年12月21日,1024円売り,280円,37.63%(1.38倍)
東洋製罐グループホールディングス(株),5901,東証1部,金属製品,2010年1月29日,1269円買い,2010年4月6日,1746円売り,477円,37.59%(1.38倍)
(株)巴川製紙所,3878,東証1部,パルプ・紙,2010年7月22日,165円買い,2010年12月20日,227円売り,62円,37.58%(1.38倍)
東洋エンジニアリング(株),6330,東証1部,建設業,2010年8月26日,237円買い,2010年12月15日,326円売り,89円,37.55%(1.38倍)
大東紡織(株),3202,東証1部,繊維製品,2010年11月2日,56円買い,2010年12月15日,77円売り,21円,37.5%(1.38倍)
(株)平和,6412,東証1部,機械,2010年5月26日,868円買い,2010年12月10日,1193円売り,325円,37.44%(1.37倍)
カブドットコム証券(株),8703,東証1部,証券商品先物,2010年10月29日,278円買い,2010年12月15日,382円売り,104円,37.41%(1.37倍)
明治海運(株),9115,東証1部,海運業,2010年11月2日,254円買い,2010年12月16日,349円売り,95円,37.4%(1.37倍)
新東工業(株),6339,東証1部,機械,2010年8月23日,562円買い,2010年12月30日,772円売り,210円,37.37%(1.37倍)
(株)ドリームインキュベータ,4310,東証1部,サービス業,2010年10月15日,470.5円買い,2010年11月26日,646円売り,175.5円,37.3%(1.37倍)
ジャパンパイル(株),5288,東証1部,ガラス土石製品,2010年10月21日,118円買い,2010年12月28日,162円売り,44円,37.29%(1.37倍)
ニチユ三菱フォークリフト(株),7105,東証1部,輸送用機器,2010年2月12日,172円買い,2010年5月14日,236円売り,64円,37.21%(1.37倍)
北陸電気工業(株),6989,東証1部,電気機器,2010年2月16日,140円買い,2010年4月26日,192円売り,52円,37.14%(1.37倍)
日本化成(株),4007,東証1部,化学,2010年9月8日,151円買い,2010年12月2日,207円売り,56円,37.09%(1.37倍)
松井証券(株),8628,東証1部,証券商品先物,2010年11月1日,445円買い,2010年12月16日,610円売り,165円,37.08%(1.37倍)
宇部興産(株),4208,東証1部,化学,2010年10月4日,178円買い,2010年12月30日,244円売り,66円,37.08%(1.37倍)
日本証券金融(株),8511,東証1部,その他金融業,2010年8月26日,448円買い,2010年12月17日,614円売り,166円,37.05%(1.37倍)
(株)キーエンス,6861,東証1部,電気機器,2010年8月31日,15827.27円買い,2010年12月15日,21663.64円売り,5836.36円,36.88%(1.37倍)
大成建設(株),1801,東証1部,建設業,2010年1月4日,160円買い,2010年4月22日,219円売り,59円,36.88%(1.37倍)
(株)ナイガイ,8013,東証1部,繊維製品,2010年10月15日,38円買い,2010年12月14日,52円売り,14円,36.84%(1.37倍)
ＤＭＧ森精機(株),6141,東証1部,機械,2010年8月31日,714円買い,2010年12月21日,977円売り,263円,36.83%(1.37倍)
(株)ＭＡＲＵＷＡ,5344,東証1部,ガラス土石製品,2010年10月26日,1802円買い,2010年12月22日,2465円売り,663円,36.79%(1.37倍)
住友不動産(株),8830,東証1部,不動産業,2010年7月22日,1454円買い,2010年12月22日,1987円売り,533円,36.66%(1.37倍)
テイ・エス　テック(株),7313,東証1部,輸送用機器,2010年8月25日,1193円買い,2010年12月6日,1630円売り,437円,36.63%(1.37倍)
コナミ(株),9766,東証1部,情報・通信業,2010年8月12日,1306円買い,2010年12月21日,1784円売り,478円,36.6%(1.37倍)
日本金属(株),5491,東証1部,鉄鋼,2010年8月31日,123円買い,2010年12月16日,168円売り,45円,36.59%(1.37倍)
三共生興(株),8018,東証1部,卸売業,2010年1月4日,233円買い,2010年3月26日,318円売り,85円,36.48%(1.36倍)
ユニプレス(株),5949,東証1部,輸送用機器,2010年2月26日,1217円買い,2010年12月20日,1661円売り,444円,36.48%(1.36倍)
東京エレクトロン(株),8035,東証1部,電気機器,2010年9月1日,3930円買い,2010年11月29日,5360円売り,1430円,36.39%(1.36倍)
日清紡ホールディングス(株),3105,東証1部,繊維製品,2010年2月9日,738円買い,2010年4月30日,1006円売り,268円,36.31%(1.36倍)
(株)アマダ,6113,東証1部,機械,2010年8月31日,499円買い,2010年12月21日,680円売り,181円,36.27%(1.36倍)
大和工業(株),5444,東証1部,鉄鋼,2010年8月25日,1876円買い,2010年12月15日,2555円売り,679円,36.19%(1.36倍)
三菱自動車(株),7211,東証1部,輸送用機器,2010年11月2日,940円買い,2010年12月14日,1280円売り,340円,36.17%(1.36倍)
日産自動車(株),7201,東証1部,輸送用機器,2010年7月1日,606円買い,2010年12月9日,825円売り,219円,36.14%(1.36倍)
日本電子材料(株),6855,東証1部,電気機器,2010年11月2日,429円買い,2010年12月27日,584円売り,155円,36.13%(1.36倍)
ステラ　ケミファ(株),4109,東証1部,化学,2010年5月26日,2807円買い,2010年12月30日,3820円売り,1013円,36.09%(1.36倍)
関東電化工業(株),4047,東証1部,化学,2010年9月1日,480円買い,2010年12月30日,653円売り,173円,36.04%(1.36倍)
ホシザキ電機(株),6465,東証1部,機械,2010年2月12日,1193円買い,2010年6月21日,1623円売り,430円,36.04%(1.36倍)
(株)ツルハホールディングス,3391,東証1部,小売業,2010年6月7日,2876円買い,2010年12月29日,3910円売り,1034円,35.95%(1.36倍)
東京応化工業(株),4186,東証1部,化学,2010年8月24日,1330円買い,2010年12月16日,1808円売り,478円,35.94%(1.36倍)
(株)神戸物産,3038,東証1部,卸売業,2010年1月12日,1350円買い,2010年10月20日,1835円売り,485円,35.93%(1.36倍)
雪印メグミルク(株),2270,東証1部,食料品,2010年2月8日,1253円買い,2010年7月28日,1703円売り,450円,35.91%(1.36倍)
住友金属鉱山(株),5713,東証1部,非鉄金属,2010年7月21日,1070円買い,2010年10月14日,1454円売り,384円,35.89%(1.36倍)
酒井重工業(株),6358,東証1部,機械,2010年11月4日,112円買い,2010年12月17日,152円売り,40円,35.71%(1.36倍)
(株)小糸製作所,7276,東証1部,電気機器,2010年10月12日,986円買い,2010年12月13日,1338円売り,352円,35.7%(1.36倍)
アイシン精機(株),7259,東証1部,輸送用機器,2010年8月26日,2165円買い,2010年12月17日,2938円売り,773円,35.7%(1.36倍)
日本郵船(株),9101,東証1部,海運業,2010年1月4日,286円買い,2010年4月30日,388円売り,102円,35.66%(1.36倍)
椿本興業(株),8052,東証1部,卸売業,2010年2月12日,174円買い,2010年5月14日,236円売り,62円,35.63%(1.36倍)
太平洋セメント(株),5233,東証1部,ガラス土石製品,2010年10月29日,87円買い,2010年12月16日,118円売り,31円,35.63%(1.36倍)
穴吹興産(株),8928,東証1部,不動産業,2010年1月6日,73円買い,2010年4月27日,99円売り,26円,35.62%(1.36倍)
(株)もしもしホットライン,4708,東証1部,サービス業,2010年2月1日,785.5円買い,2010年12月30日,1065円売り,279.5円,35.58%(1.36倍)
ＤＩＣ(株),4631,東証1部,化学,2010年7月2日,135円買い,2010年12月29日,183円売り,48円,35.56%(1.36倍)
(株)日伝,9902,東証1部,卸売業,2010年2月9日,2011円買い,2010年4月26日,2726円売り,715円,35.55%(1.36倍)
日本板硝子(株),5202,東証1部,ガラス土石製品,2010年10月13日,166円買い,2010年12月22日,225円売り,59円,35.54%(1.36倍)
太陽誘電(株),6976,東証1部,電気機器,2010年8月31日,926円買い,2010年12月29日,1255円売り,329円,35.53%(1.36倍)
東海ゴム工業(株),5191,東証1部,ゴム製品,2010年10月21日,839円買い,2010年12月16日,1137円売り,298円,35.52%(1.36倍)
クミアイ化学工業(株),4996,東証1部,化学,2010年5月26日,214円買い,2010年11月11日,290円売り,76円,35.51%(1.36倍)
(株)稲葉製作所,3421,東証1部,金属製品,2010年10月12日,651円買い,2010年12月30日,882円売り,231円,35.48%(1.35倍)
三井物産(株),8031,東証1部,卸売業,2010年7月5日,1018円買い,2010年12月8日,1379円売り,361円,35.46%(1.35倍)
(株)エフテック,7212,東証1部,輸送用機器,2010年8月25日,1126円買い,2010年12月16日,1525円売り,399円,35.44%(1.35倍)
日本合成化学工業(株),4201,東証1部,化学,2010年11月2日,412円買い,2010年12月17日,558円売り,146円,35.44%(1.35倍)
池上通信機(株),6771,東証1部,電気機器,2010年10月26日,48円買い,2010年12月6日,65円売り,17円,35.42%(1.35倍)
ニッケ,3201,東証1部,繊維製品,2010年1月4日,579円買い,2010年4月26日,784円売り,205円,35.41%(1.35倍)
(株)オートバックスセブン,9832,東証1部,卸売業,2010年2月15日,863.33円買い,2010年5月18日,1168.33円売り,305円,35.33%(1.35倍)
上新電機(株),8173,東証1部,小売業,2010年1月5日,725円買い,2010年5月13日,981円売り,256円,35.31%(1.35倍)
(株)ケーズホールディングス,8282,東証1部,小売業,2010年9月2日,1729円買い,2010年11月22日,2339円売り,610円,35.28%(1.35倍)
太平洋興発(株),8835,東証1部,卸売業,2010年10月29日,54円買い,2010年12月8日,73円売り,19円,35.19%(1.35倍)
(株)インプレスホールディングス,9479,東証1部,情報・通信業,2010年10月20日,111円買い,2010年12月17日,150円売り,39円,35.14%(1.35倍)
(株)ファンコミュニケーションズ,2461,東証1部,サービス業,2010年11月4日,101.13円買い,2010年12月24日,136.63円売り,35.5円,35.1%(1.35倍)
富士興産(株),5009,東証1部,卸売業,2010年11月2日,570円買い,2010年12月14日,770円売り,200円,35.09%(1.35倍)
(株)共立メンテナンス,9616,東証1部,サービス業,2010年11月2日,1023円買い,2010年12月30日,1382円売り,359円,35.09%(1.35倍)
東洋証券(株),8614,東証1部,証券商品先物,2010年11月2日,114円買い,2010年12月17日,154円売り,40円,35.09%(1.35倍)
(株)安川電機,6506,東証1部,電気機器,2010年9月2日,577円買い,2010年12月15日,779円売り,202円,35.01%(1.35倍)
(株)アゴーラ・ホスピタリティー・グループ,9704,東証1部,サービス業,2010年11月1日,20円買い,2010年12月14日,27円売り,7円,35%(1.35倍)
マツダ(株),7261,東証1部,輸送用機器,2010年9月2日,183円買い,2010年12月9日,247円売り,64円,34.97%(1.35倍)
三菱ガス化学(株),4182,東証1部,化学,2010年7月1日,432円買い,2010年12月29日,583円売り,151円,34.95%(1.35倍)
住友商事(株),8053,東証1部,卸売業,2010年7月2日,884円買い,2010年12月15日,1193円売り,309円,34.95%(1.35倍)
ニチモウ(株),8091,東証1部,卸売業,2010年10月29日,126円買い,2010年12月20日,170円売り,44円,34.92%(1.35倍)
丸紅(株),8002,東証1部,卸売業,2010年8月31日,433円買い,2010年12月16日,584円売り,151円,34.87%(1.35倍)
(株)岡村製作所,7994,東証1部,その他製品,2010年11月4日,399円買い,2010年12月17日,538円売り,139円,34.84%(1.35倍)
(株)ヨロズ,7294,東証1部,輸送用機器,2010年2月3日,1106円買い,2010年4月28日,1491円売り,385円,34.81%(1.35倍)
(株)小森コーポレーション,6349,東証1部,機械,2010年10月28日,730円買い,2010年12月15日,984円売り,254円,34.79%(1.35倍)
タカノ(株),7885,東証1部,その他製品,2010年11月1日,368円買い,2010年12月15日,496円売り,128円,34.78%(1.35倍)
(株)日阪製作所,6247,東証1部,機械,2010年8月31日,804円買い,2010年12月17日,1083円売り,279円,34.7%(1.35倍)
(株)テレビ朝日ホールディングス,9409,東証1部,情報・通信業,2010年10月25日,1076円買い,2010年12月16日,1449円売り,373円,34.67%(1.35倍)
リコーリース(株),8566,東証1部,その他金融業,2010年1月4日,1853円買い,2010年4月27日,2495円売り,642円,34.65%(1.35倍)
科研製薬(株),4521,東証1部,医薬品,2010年5月7日,736円買い,2010年12月29日,991円売り,255円,34.65%(1.35倍)
コーエーテクモホールディングス(株),3635,東証1部,情報・通信業,2010年11月15日,486円買い,2010年12月29日,654円売り,168円,34.57%(1.35倍)
三井不動産(株),8801,東証1部,不動産業,2010年7月22日,1221円買い,2010年12月29日,1643円売り,422円,34.56%(1.35倍)
サンフロンティア不動産(株),8934,東証1部,不動産業,2010年10月28日,87.3円買い,2010年12月29日,117.4円売り,30.1円,34.48%(1.34倍)
日本エスリード(株),8877,東証1部,不動産業,2010年8月26日,636円買い,2010年12月29日,855円売り,219円,34.43%(1.34倍)
横河電機(株),6841,東証1部,電気機器,2010年8月4日,503円買い,2010年12月17日,676円売り,173円,34.39%(1.34倍)
イビデン(株),4062,東証1部,電気機器,2010年11月4日,1916円買い,2010年12月13日,2575円売り,659円,34.39%(1.34倍)
三谷セキサン(株),5273,東証1部,ガラス土石製品,2010年1月4日,390円買い,2010年4月27日,524円売り,134円,34.36%(1.34倍)
ＳＢＩホールディングス(株),8473,東証1部,証券商品先物,2010年10月4日,937円買い,2010年12月15日,1259円売り,322円,34.36%(1.34倍)
日本ユニシス(株),8056,東証1部,情報・通信業,2010年10月21日,492円買い,2010年12月29日,661円売り,169円,34.35%(1.34倍)
