発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)		売却側企業 EBITDA
07/15/2004	Canyon Fuel Co LLC	ｱｰﾁ･ﾘｿｰｼｽﾞ	伊藤忠商事	111.9	Completed	7408.88	3.35292	17.1716	102296	-109.025	-14.7085	11.8052	1550.77					8001 JP	125944	Distribution/Wholesale	ARCH US	3200	Coal	360864Z US		Coal				414.335	443.416	22.277	16.042				6213.75
07/11/2003	Crosby court office building	Union Investment Real Estate AG	熊谷組	111.12	Completed	269.124	6.06875	10.6717	4122.26									1861 JP	4259	Engineering&Construction	166747Z GR		Country Funds-Closed-end			Engineering&Construction				449.575	421.68						283.918
02/17/2003	日本コンラックス	ﾏｰｽ		111.1	Completed															N.A.	4614Z US	80000	Food	6970 JP	193	Electrical Compo&Equip											
11/12/2007	18 rental housing properties	ｱｽｺｯﾄ･ﾚｼﾞﾃﾞﾝｽ･ﾄﾗｽﾄ	MCK Two YK	111	Completed					94.1807	26.2311		265.126					MCKTOZ JP		Real Estate	ART SP		REITS			Real Estate						0.035	0.034				
04/17/2000	Garden Tool Business	MTD Products Inc	リョービ	110.32	Completed	167.121	0.604215	10.7911	1773.68									5851 JP	7340	Metal Fabricate/Hardware	65142Z US	5614	Metal Fabricate/Hardware			Metal Fabricate/Hardware				166.8	132.8						136.925
12/02/2002	3 classs A office buildings	ｲﾝﾍﾞｽﾄｺｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	三菱地所	110.12	Completed	3056.73	18.5071	26.0062	11811.2	190	31.9444		432					8802 JP	9982	Real Estate	INVCORP BI		Investment Companies			Real Estate				121.282	111.937						2985.8
08/08/2002	ANA Holding Pty Ltd	シンガポール政府投資公社	ＡＮＡホールディングス	110.11	Completed	-1853.44	-45.9463	-23.3735	7570.23									9202 JP	20517	Airlines	GIC SP		Investment Companies	121437Z AU		Real Estate				83.075	-179.983						-2700.77
04/30/2013	マイコン・アナログ事業	ｽﾊﾟﾝｼｮﾝ	富士通	110	Completed	4293.52	7.74028	30.7167	33708.7	84.956	-1.85389	30.5371	1251.86					6702 JP	126371	Computers	CODE US	3893	Computers			Computers				1199.65	1066.33	2.45	1.68				4170.87
11/07/2017	Cloudmark Inc	ﾌﾟﾙｰﾌﾎﾟｲﾝﾄ	"プライベート･インベスター,Presidio Ventures Inc,Industry Ventures LLC (ﾌｧﾝﾄﾞ: Industry Ventures Fund V LP),Summit Partners LP (ﾌｧﾝﾄﾞ: Summit Partners Private Equity Fund VII LP),Ignition Partners LLC (ﾌｧﾝﾄﾞ: Ignition Venture Partners II LP),Nokia Growth Partners Management Co Oy (ﾌｧﾝﾄﾞ: Nokia Growth Partners II LP),FTV Management Co LP (ﾌｧﾝﾄﾞ: Financial Technology Ventures II LP)"	110	Completed					3.645	-11.5979	74.5624	1138.28							"Investment Companies, Private Equity"	PFPT US	3658	Internet	3537884Z US	130	Computers						2.72	2.27				
07/23/2015	Louis Royer SACA	Terroirs Distillers SAS	寿不動産	109.93	Pending						2.59717	72.8446	29.7461		12.0232	53.5045	45.5217	KOTOBUKI JP		Holding Companies-Divers	1239398D FP		Beverages	7419327Z FP		Beverages											
10/29/2010	ヘテ飲料	LG生活健康[ｴﾙｼﾞｰ･ﾊｳｽﾎｰﾙﾄﾞ･ｱﾝﾄﾞ･ﾍﾙｽｹｱ]	"ｱｻﾋｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,三井物産,電通グループ,ﾎﾃﾙ･ﾛｯﾃ,MB Asia Foods Co Ltd"	109.25	Completed					1369.89	15.6903	63.2268	7247.21	28.6993	2.34213	27.0554	317.257			"Advertising, Distribution/Wholesale, Lodging, Beverages, Commercial Services"	051900 KS		Cosmetics/Personal Care	HAIBEZ KS	809	Beverages						63193.8	55740.3				
03/30/2015	Potential Target	Potential Buyer	IPC	109.07	Withdrawn	-6.46709	-170.037	-10.4009	4.61373									IPC SP		Real Estate			Investment Companies			Real Estate											-18.7447
03/14/2014	Certain ammonia plant assets	ﾌﾟﾌﾟｯｸ･ｲﾝﾄﾞﾈｼｱ･ﾎｰﾙﾃﾞｨﾝｸﾞ	三井物産	109	Completed	4817.44	2.49709	9.73044	85908.6	667.414	8.07696	15.4732	4939.84					8031 JP	44509	Distribution/Wholesale	0991680D IJ	8336	Chemicals			Chemicals				372.474	412.968						3928.51
07/31/2002	ANA International Europe B.V.	JJW Hotels & Resorts Ltd	ＡＮＡホールディングス	108.6	Completed	-1853.44	-45.9463	-23.3735	7570.23									9202 JP	20517	Airlines	120921Z LN		Real Estate	120228Z NA		Real Estate				83.075	-179.983						-2700.77
12/21/2020	Mizkan Americas Inc	ｵﾗﾑ･ｲﾝﾀｰﾅｼｮﾅﾙ	ミツカングループ本社	108.5	Completed					949.09	1.67215	7.96301	30881.8					MIZGRZ JP		Food	OLAM SP		Food	0120350D US	350	Food											
10/01/2021	Neon Local Apartments/Denver	MG Properties Group	"積水ハウス,Holland Partner Group LLC"	108.2	Completed															"Home Builders, Real Estate"	0218550Z US		Private Equity			REITS											
11/07/2000	Section of 660 Madison Ave	Brickman 660 Office LLC	伊勢丹	108.08	Completed	378.167	3.56333	28.7123	7195.11									8238 JP	9258	Retail	22959Z US		Investment Companies			N.A.											406.158
02/14/2007	サンスター	Sunstar SA		107.72	Completed									44.5957	4.21288	64.4913	609.738			N.A.	906510Z SW	7	Healthcare-Products	4913 JP	915	Healthcare-Products											
08/02/2006	サンテックパワージャパン	ｻﾝﾃｯｸ･ﾊﾟﾜｰ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		107	Completed					-215	-13.3557	7.04367	2679							N.A.	STPFQ US	17693	Energy-Alternate Sources	MSKCORZ JP		Energy-Alternate Sources											
03/02/2015	Everyday cheese business	ﾜｰﾅﾝﾌﾞｰﾙ･ﾁｰｽﾞ&ﾊﾞﾀｰ･ﾌｧｸﾄﾘｰ	キリンホールディングス	106.77	Completed	1664.23	5.17636	44.4944	17292.6	6.04612	-1.22578		472.939					2503 JP	31151	Beverages	WCB AU		Food			Food				147.801	113.728						1733.73
12/20/2007	JN	ｱｽﾄﾛ･ｼﾞｬﾊﾟﾝ･ﾌﾟﾛﾊﾟﾃｨ･ｸﾞﾙｰﾌﾟ		106.25	Completed						84.1202		15.3326							N.A.	AJA AU		REITS			Real Estate						0.64	0.64				
10/19/2015	Suntory Tsingtao Brewery Shanghai Co Ltd	青島●酒	寿不動産	106.17	Completed						11.5985	42.1197	4588.6					KOTOBUKI JP		Holding Companies-Divers	600600 CH	35678	Beverages	SUNTSZ CH		Beverages						2.451	2.056				
09/28/1998	AUSTRALIAN FINANCE BUSN	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	日産自動車	106	Completed	7189.46	0.907904	14.7666	81683.2	3807	-1.55195	19.8249	76742					7201 JP	131461	Auto Manufacturers	GE US	174000	Miscellaneous Manufactur			N.A.				73.007	32.056	4.138	2.055				5274.18
02/27/2014	NIS Wave I	ｸﾘｻｽ･ﾘﾃｰﾙ･ﾄﾗｽﾄ	Wave I GK	105.79	Completed					55.1832	48.6639		113.128					0957397D JP		Investment Companies	CRT SP		Real Estate			Real Estate						5.603	5.497				
12/30/2005	Aioi Insurance Co Ltd/London	Hillcot Holdings Ltd	あいおいニッセイ同和損害保険	105.11	Completed													8761 JP	15070	Insurance	189594Z BH		Holding Companies-Divers	671985Z LN		Insurance											
12/30/2015	ジェイデバイス	ｱﾑｺｰ･ﾃｸﾉﾛｼﾞｰ		105	Completed					1188.94	10.7409	19.3842	5457.75							N.A.	AMKR US	29050	Semiconductors	NKYMDZ JP		Semiconductors						2.6	2.4				
07/24/2012	Intellectual Ppty & Assets	ﾕﾆﾊﾞｰｻﾙ･ﾃﾞｨｽﾌﾟﾚｲ	富士フイルムホールディングス	105	Completed	3063.61	8.68519	40.3176	21780.3	269.187	43.5893	79.9082	522.282					4901 JP	73275	Miscellaneous Manufactur	OLED US	349	Electrical Compo&Equip			Miscellaneous Manufactur				483.192	435.063	5.413	4.164				3037.95
