発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)		売却側企業 EBITDA
04/29/2018	ｽﾌﾟﾘﾝﾄ	TﾓﾊﾞｲﾙUS	ソフトバンクグループ	68014.33	Completed	87310.3	61.8798	79.1889	128081	27872	10.7436	56.1244	79322	10086	-2.82211	58.0781	32458	9984 JP	58786	Telecommunications	TMUS US	75000	Telecommunications	1897377D US	28500	Telecommunications				876.148	1007.82	3.444	2.465	-0.229	-0.24		84744.8
12/23/2019	汐留 Z ホールディングス合同会社	Naver[ﾈｲﾊﾞｰ]	ソフトバンク	27313.06	Pending	15799.9	18.0708	48.2946	50620.6	1444.85	20.5422		5319.71					9434 JP	47313	Telecommunications	035420 KS		Internet	1766442D JP		Investment Companies				116.058	109.326	11393.1	101096				15726.1
04/06/2021	東芝	CVC Advisers Ltd		20775.31	Withdrawn					10.0471	6.6899	6.6899	100.812	2037.39	4.13412	26.3875	29890.9			N.A.	2270Z LN	150	Private Equity	6502 JP	118131	Miscellaneous Manufactur								358.776	317.913		
06/11/2020	ｼﾞｪｲ ｴﾌ ｲｰ ﾎｰﾙﾃﾞｨﾝｸﾞｽ	Potential Buyer		20734.38	Proposed									3279.7	3.13327	12.6283	31674.6			N.A.			Investment Companies	5411 JP	64371	Iron/Steel								317.775	430.558		
08/25/2021	キオクシアホールディングス	ｳｴｽﾀﾝﾃﾞｼﾞﾀﾙ	"ＨＯＹＡ,東芝,Bcpe Pangea Holdings Cayman LP"	20000	Proposed					2482	7.20955	26.7167	16922	2195.15	-17.532	0.0678664	9081.34			"Investment Companies, Electronics, Miscellaneous Manufactur"	WDC US	65600	Computers	6600 JP	12374	Semiconductors						11.16	10.26				
09/13/2020	ARM Ltd	ｴﾇﾋﾞﾃﾞｨｱ	ソフトバンクグループ	17621.85	Pending	87310.3	61.8798	79.1889	128081	8618	33.3607	63.7576	21897		2.25357		1896.16	9984 JP	58786	Telecommunications	NVDA US	13532	Semiconductors	2243469Z LN		Semiconductors				876.148	1007.82	4.613	4.114				84744.8
05/09/2018	ﾌﾘｯﾌﾟｶｰﾄ･ｵﾝﾗｲﾝ･ｻｰﾋﾞｼｽﾞ	ｳｫﾙﾏｰﾄ	"ﾏｲｸﾛｿﾌﾄ,ﾅｽﾊﾟｰｽﾞ,Unknown Seller,ソフトバンクグループ (ﾌｧﾝﾄﾞ: SoftBank Vision Fund LP)"	16000	Completed					36420	4.50909	25.0978	566145							"Media, Telecommunications, Investment Companies, Software"	WMT US	2300000	Retail	8764174Z IN		Internet						6.625	6.353				
08/21/2020	日本ペイントホールディングス	複数買収者		13718.29	Completed									1250.32	10.8123	40.1596	8766.67			N.A.			Investment Companies	4612 JP	27318	Chemicals								38.003	33.666		
09/20/2001	ソフトバンク	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ		10914.72	Completed					22005.2	10.8539	31.3246	51125.8	15799.9	18.0708	48.2946	50620.6			N.A.	VOD LN	96506	Telecommunications	9434 JP	47313	Telecommunications						0.111	0.094	116.058	109.326		
06/21/2016	スーパーセル	複数買収者	"ソフトバンクグループ,マネージメントグループ,プライベート･インベスター,Unnamed Seller"	8600	Completed															"Telecommunications, Investment Companies, Software"			"Internet, Apparel, Holding Companies-Divers, Banks, Diversified Finan Serv, Private Equity"	8373809Z FH		Software											
10/22/2017	ｿｰｼｬﾙ･ﾌｧｲﾅﾝｽ	Potential Buyer	"ﾎﾟｽｺ,ソフトバンクグループ,ｳｪﾘﾝﾄﾝ･ﾏﾈｼﾞﾒﾝﾄ･ｸﾞﾙｰﾌﾟ,ｲﾝｽﾃｨﾃｭｰｼｮﾅﾙ･ﾍﾞﾝﾁｬｰﾊﾟｰﾄﾅｰｽﾞ,ｼﾙﾊﾞｰﾚｲｸ･ﾏﾈｼﾞﾒﾝﾄ,Doll Capital Management Inc,Softbank Capital Partners LP/US,プライベート･インベスター,ｺﾘｱ･ｲﾝﾍﾞｽﾄﾒﾝﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,ﾊﾅ･ﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ,Discovery Capital Management LLC/NY,Baseline Ventures LLC,ﾚﾝﾚﾝ,Third Point Ventures LP,Direct Access Group LLC,Wicklow Capital Inc,Unknown Seller,Zenitas Investment Co"	8000	Withdrawn															"Iron/Steel, Internet, Telecommunications, Diversified Finan Serv, Investment Companies, Private Equity"			Investment Companies	0604939D US		Diversified Finan Serv											
03/06/2007	日興ｺｰﾃﾞｨｱﾙｸﾞﾙｰﾌﾟ	シティグループ		7994.6	Completed					43983	33.5554		80619	1934.69	25.3765		4858.77			N.A.	C US	214000	Diversified Finan Serv	8603 JP	11819	Diversified Finan Serv						7.791	9.999				
09/21/2021	MUFGﾕﾆｵﾝ･ﾊﾞﾝｸ	USﾊﾞﾝｺｰﾌﾟ	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ	7990.11	Pending		25.3749		51513.7		40.6053		24037					8306 JP	138161	Banks	USB US	70000	Banks	13717Z US		Banks				77.317	75.312	4.472	4.992				
03/30/2016	シャープ	複数買収者		7526.3	Completed									1533.6	3.63145	17.4422	23697.4			N.A.			"Investment Companies, Electronics, Computers"	6753 JP	50478	Home Furnishings								106.916	116.607		
05/17/2021	Tokopedia PT	Aplikasi Karya Anak Bangsa PT	"ソフトバンクグループ,プライベート･インベスター,ｱﾘﾊﾞﾊﾞ･ｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞ,Sequoia Capital Operations LLC (ﾌｧﾝﾄﾞ: Sequoia Capital Global Growth Fund LP),サイバーエージェント・キャピタル (ﾌｧﾝﾄﾞ: CA ASIA Internet Fund I)"	7500	Completed															"Internet, Telecommunications, Investment Companies, Private Equity"	1379371D IJ		Software	1087142D IJ		Internet											
12/21/2006	Sakhalin Energy Investment Co Ltd	ｶﾞｽﾌﾟﾛﾑ	"三菱商事,三井物産,ﾛｲﾔﾙ･ﾀﾞｯﾁ･ｼｪﾙ"	7450	Completed					33500.9	21.6651		104174							"Distribution/Wholesale, Oil&Gas"	GAZP RM	467000	Oil&Gas	868566Z RU		Oil&Gas		66059				82.368	85.661				
01/23/1999	Japan Leasing Corp assets	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	日本ＧＥ	6894.75	Completed					3807	-1.55195	19.8249	76742					JLCZ JP	570	Diversified Finan Serv	GE US	174000	Miscellaneous Manufactur			N.A.						4.138	2.055				
09/24/2013	東京エレクトロン	アプライド・マテリアルズ		6795.29	Terminated					6620	28.4724	46.6941	21628	3977.3	25.2958	42.138	14430			N.A.	AMAT US	26000	Semiconductors	8035 JP	14479	Semiconductors						8.053	6.865	2754.97	2458.19		
12/04/2020	Rollins Road Acquisition Co	Stem Inc	"エクセロン,ﾄﾀﾙｴﾅｼﾞｰｽﾞ,三井物産,RWE,イベルドローラ,ﾃﾏｾｸ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,ｵﾝﾀﾘｵ･ﾃｨｰﾁｬｰｽﾞ･ﾍﾟﾝｼｮﾝ･ﾌﾟﾗﾝ･ﾎﾞｰﾄﾞ,EFW Partners LLC,Angeleno Group LLC (ﾌｧﾝﾄﾞ: Angeleno Investors III LP),Mithril Capital Management LLC (ﾌｧﾝﾄﾞ: Mithril LP),GE Ventures,Activate Capital Ltd,Magnesium Capital LLP"	6023.76	Completed															"Distribution/Wholesale, Oil&Gas, Diversified Finan Serv, Investment Companies, REITS, Private Equity, Electric"	STEM US		Holding Companies-Divers	0087451Z US		Software						-0.102	-2.267				
03/03/2021	Auth0 Inc	ｵｸﾀ	"ｼﾘｺﾝ･ﾊﾞﾚｰ･ﾊﾞﾝｸ,Deer Management Co LLC (ﾌｧﾝﾄﾞ: Bessemer Venture Partners VIII LP),Bridge City Ventures (ﾌｧﾝﾄﾞ: Portland Seed Fund LP),K9 Ventures LLC (ﾌｧﾝﾄﾞ: K9 Ventures II LP),Telstra Ventures Pty Ltd,Meritech Capital Partners LP (ﾌｧﾝﾄﾞ: Meritech Capital Partners V LP),Unknown Seller,TVL Management Corp (ﾌｧﾝﾄﾞ: Trinity Ventures XII LP),NTTドコモ・ベンチャーズ (ﾌｧﾝﾄﾞ: ＮＴＴインベストメント・パートナーズファンド２号投),NXTP Labs SRL (ﾌｧﾝﾄﾞ: Certo SA),Sapphire Ventures LLC (ﾌｧﾝﾄﾞ: Sapphire Ventures Fund III LP),WiL LLC (ﾌｧﾝﾄﾞ: WiL Fund II LP),Salesforce Ventures LLC (ﾌｧﾝﾄﾞ: Australian Trailblazer Fund),Deutsche Telekom Strategic Investments GmbH (ﾌｧﾝﾄﾞ: Deutsche Telekom Capital Partners II)"	5927.49	Completed					-355.786	-45.2269	71.9939	1018.62							"Banks, Diversified Finan Serv, Investment Companies, Private Equity"	OKTA US	4176	Internet	1067146D US		Software						-0.516	-0.741				
09/27/2019	ユニゾホールディングス	ﾌﾞﾗｯｸｽﾄｰﾝ		5756.57	Withdrawn					14069	80.1148		17252	173.139	24.3646	40.8295	374.602			N.A.	BX US	3165	Private Equity	3258 JP	182	Real Estate						4.449	3.774				
04/21/1995	Universal Studios Inc	ﾋﾞﾍﾞﾝﾃﾞｨ	パナソニック	5699.66	Completed	6470.16	5.24915	29.8506	66680.3	3114.78	10.6304	45.4317	19963.9					6752 JP	240202	Home Furnishings	VIV FP	42800	Media	MCAI US	15000	Entertainment				118.303	104.521	0.925	1.018				5630.86
08/16/2019	ユニゾホールディングス	ﾌｫｰﾄﾚｽ･ｲﾝﾍﾞｽﾄﾒﾝﾄ･ｸﾞﾙｰﾌﾟ		5584.56	Terminated					475.999	38.3251		1171.92	173.139	24.3646	40.8295	374.602			N.A.	FIG US	969	Diversified Finan Serv	3258 JP	182	Real Estate						0.83	0.94				
10/02/2007	日興ｺｰﾃﾞｨｱﾙｸﾞﾙｰﾌﾟ	シティグループ		5376.68	Completed					43983	33.5554		80619	1934.69	25.3765		4858.77			N.A.	C US	214000	Diversified Finan Serv	8603 JP	11819	Diversified Finan Serv						7.791	9.999				
05/02/2001	ソフトバンク	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ	BTｸﾞﾙｰﾌﾟ	5313.2	Completed	9071.36	12.1279		27906.1	22005.2	10.8539	31.3246	51125.8	15799.9	18.0708	48.2946	50620.6	BT/A LN	99700	Telecommunications	VOD LN	96506	Telecommunications	9434 JP	47313	Telecommunications				0.201	0.202	0.111	0.094	116.058	109.326		9071.36
11/19/2012	アンニントン・ホームズ	ﾃﾗﾌｧｰﾏ･ｷｬﾋﾟﾀﾙﾊﾟｰﾄﾅｰｽﾞ	野村ホールディングス	5091.2	Completed	3799.31	8.44581		14167.3					239.551	94.0374	95.2926	253.512	8604 JP	26647	Diversified Finan Serv	99484Z LN	52	Private Equity	3653359Z LN		Real Estate				80.307	75.959						5229.81
08/25/2020	OSIsoft LLC	アヴィバ･グループ	"三井物産,ソフトバンクグループ (ﾌｧﾝﾄﾞ: SoftBank Vision Fund LP),Estudillo Holdings Corp"	5016.68	Completed					212.851	4.65627	77.901	1073.28							"Telecommunications, Distribution/Wholesale, Investment Companies"	AVV LN	4880	Software	3512685Z US	900	Software						1.178	1.002				
08/04/2021	ARAｱｾｯﾄ･ﾏﾈｼﾞﾒﾝﾄ	易商紅木[ESRｹｲﾏﾝ]	"プライベート･インベスター,三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ,ｳｫｰﾊﾞｰｸﾞ･ﾋﾟﾝｶｽ (ﾌｧﾝﾄﾞ: Warburg Pincus Real Estate II LP)"	4827.48	Pending					478.273	116.429	81.3581	395.089	41.5444	38.2365		105.791			"Banks, Investment Companies, Private Equity"	1821 HK	594	Real Estate	ARA SP		Diversified Finan Serv						0.14	0.114		0.087		
09/30/2010	"ＡＩＧスター生命保険,ＡＩＧエジソン生命保険"	ﾌﾟﾙﾃﾞﾝｼｬﾙ･ﾌｧｲﾅﾝｼｬﾙ	ｱﾒﾘｶﾝ･ｲﾝﾀｰﾅｼｮﾅﾙ･ｸﾞﾙｰﾌﾟ(AIG)	4800	Completed		13.5504		45032		16.8597		63370					AIG US	45000	Insurance	PRU US	41671	Insurance			Insurance				5.407	4.826	12.828	13.397				
07/02/2012	マイクロンメモリジャパン	マイクロン･テクノロジー		4425.64	Completed					12579	22.6782	37.6214	27705	589.443	-23.1003	-4.40106	4312.22			N.A.	MU US		Semiconductors	6665 JP	5898	Semiconductors						11.238	9.018				
12/06/2019	ﾘｱｼｭｱ･ｸﾞﾙｰﾌﾟ	ﾌｪﾆｯｸｽ･ｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	"MS&ADｲﾝｼｭｱﾗﾝｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,ｽｲｽ･ﾘｰ"	4268.23	Completed						1.60095		38375.8							Insurance	PHNX LN	5752	Insurance	RSUR LN		Insurance						0.686	0.411				
03/07/2011	HGST Inc	ｳｴｽﾀﾝﾃﾞｼﾞﾀﾙ	日立製作所	4250	Completed	10824.4	6.61216	24.8067	89251	2482	7.20955	26.7167	16922					6501 JP	353520	Electrical Compo&Equip	WDC US	65600	Computers	0128343D US	2303	Computers				556.813	618.99	11.16	10.26				12174.1
12/12/2019	Woowa Brothers Corp	ﾃﾞﾘﾊﾞﾘｰ･ﾋｰﾛｰ	"シンガポール政府投資公社,プライベート･インベスター,Naver[ﾈｲﾊﾞｰ],サイバーエージェント・キャピタル (ﾌｧﾝﾄﾞ: CyberAgent Asia Internet Fund I),Altos Ventures Management Inc (ﾌｧﾝﾄﾞ: Altos Ventures IV LP),ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ (ﾌｧﾝﾄﾞ: Goldman Sachs Social Impact Fund LP),Hillhouse Investment Management Ltd (ﾌｧﾝﾄﾞ: Hillhouse Capital Private Equity Fund II),IMM Private Equity Inc (ﾌｧﾝﾄﾞ: 2014 IMM ICT Venture Fund),Stonebridge Ventures Inc,Sequoia Capital Operations LLC (ﾌｧﾝﾄﾞ: Sequoia Capital Global Growth Fund III LP)"	4000	Completed					-1035.12	-27.7118	21.9836	4737.9							"Internet, Diversified Finan Serv, Investment Companies, Private Equity"	DHER GR	43838	Internet	0962533D KS		Internet						-4.265	-5.476				
09/30/2005	西友	ｳｫﾙﾏｰﾄ		3838.12	Completed					36420	4.50909	25.0978	566145	160.588	0.177638	24.2113	8646.81			N.A.	WMT US	2300000	Retail	8268 JP	5539	Retail						6.625	6.353	-445.805	-5.82		
10/20/2014	アリスタライフサイエンス	ｴﾚﾒﾝﾄ･ｿﾘｭｰｼｮﾝｽﾞ	ﾍﾟﾙﾐﾗ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	3510	Completed					491.7	14.39	42.1099	2150.8					727032Z LN		Private Equity	ESI US	4400	Chemicals	ARLSCZ JP		Chemicals						1.583	1.388				
01/12/2016	Legendary Entertainment LLC	Dalian Hexing Investment Co Ltd	"ソフトバンクグループ,Morgan Stanley Investment Management Inc,プライベート･インベスター,IDG Capital Investment Consultant Beijing Co Ltd (ﾌｧﾝﾄﾞ: IDG-Accel China Capital II LP),Tomorrow Ventures LLC,ｱｸｾﾙ (ﾌｧﾝﾄﾞ: Accel XI LP),Thiel Capital LLC,Breyer Capital LLC"	3500	Completed															"Diversified Finan Serv, Private Equity"	1229323D CH		Investment Companies	0633565D US		Entertainment											
07/01/2019	日立国際電気	アプライド・マテリアルズ	KKR	3500	Terminated		67.2246		25464.7	6620	28.4724	46.6941	21628	264.279	12.3269	30.7352	1856.02	KKR US	1583	Private Equity	AMAT US	26000	Semiconductors	6756 JP	4962	Telecommunications				3.919	3.623	8.053	6.865	214.775			
05/09/2019	Xiidra 5%	ﾉﾊﾞﾙﾃｨｽ	武田薬品工業	3400	Completed	10816.1	17.6513	70.1846	31423.3	16407	21.239	69.1151	51556					4502 JP	47099	Pharmaceuticals	NOVN SW	110000	Pharmaceuticals			Biotechnology				430.074	411.46	6.753	6.315				10083.4
01/07/2021	Firestone Building Products Co LLC	ﾎﾙｼﾑ	ブリヂストン	3400	Completed	4415.31	6.67271	38.4576	30129.7	6623.1	14.7211	43.6473	27482.7					5108 JP	138036	Miscellaneous Manufactur	HOLN SW	67409	Building Materials	0833823D US		Retail				421.85	476.19	4.588	4.083				3106.82
10/21/2011	すかいらーく	ﾍﾞｲﾝ･ｷｬﾋﾟﾀﾙ･ﾌﾟﾗｲﾍﾞｰﾄ･ｴｸｲﾃｨ	"野村ホールディングス,中央三井ﾌﾟﾗｲﾍﾞｰﾄｴｸｲﾃｨ第一号投資事業組合,CVC Advisers Ltd (ﾌｧﾝﾄﾞ: CVC Capital Partners Asia Pacific II LP)"	3390.17	Completed									289.622	4.75206	66.8875	3323.65			"Diversified Finan Serv, Investment Companies, Private Equity"	6821Z US	31500	Private Equity	8180 JP	34524	Retail								92.063	58.565		
11/22/2016	マレリ	KKR		3112	Completed						67.2246		25464.7	601.117	4.07226	9.14212	9371.71			N.A.	KKR US	1583	Private Equity	7248 JP		Auto Parts&Equipment						3.919	3.623				
03/26/2019	Careem Networks FZ LLC	ｳｰﾊﾞｰ･ﾃｸﾉﾛｼﾞｰｽﾞ	"ﾀﾞｲﾑﾗｰ,Doll Capital Management Inc,Kuwait Investment Authority,ｷﾝｸﾞﾀﾞﾑ･ﾎｰﾙﾃﾞｨﾝｸﾞ,ｻｳｼﾞ･ﾃﾚｺﾑ,ｴﾙｽｳｪﾃﾞｨ･ｴﾚｸﾄﾘｯｸ,ｱﾙ･ﾀｲﾔｰ･ﾄﾗﾍﾞﾙｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞ,Abraaj Group Ltd/The (ﾌｧﾝﾄﾞ: Abraaj Kantara Fund),Wamda Capital (ﾌｧﾝﾄﾞ: Wamda MENA Ventures I CV),Iris Capital Management SAS (ﾌｧﾝﾄﾞ: STC Ventures),楽天グループ (ﾌｧﾝﾄﾞ: Rakuten Ventures Global Investment Fund),SQM Frontier Management LP,Lumia Capital LLC (ﾌｧﾝﾄﾞ: Lumia Capital 2014 Fund LP),Endure Capital,Arzan Venture Capital,Beco Capital (ﾌｧﾝﾄﾞ: Beco Capital I)"	3100	Completed					-3529	-35.8449	47.7068	13126							"Internet, Telecommunications, Auto Manufacturers, Leisure Time, Lodging, Diversified Finan Serv, Private Equity, Electrical Compo&Equip"	UBER US	22800	Internet	1235857D UH		Internet						-0.368	-0.191				
02/20/1998	ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ･ﾎﾃﾙｽﾞ･ｸﾞﾙｰﾌﾟ	Six Continents Ltd	Saison Group	2889	Completed						-17.3913		62.3476	331	9.93548	85.8925	2325	1099Z JP		N.A.	SXC LN		Holding Companies-Divers	IHG LN	8146	N.A.								2.509	1.181		
04/04/2021	インベスコ・オフィス・ジェイリート投資法人	ｽﾀｰｳｯﾄﾞ･ｷｬﾋﾟﾀﾙ･ｸﾞﾙｰﾌﾟ		2877.42	Terminated									96.3777	46.7644		164.759			N.A.	17274Z US	535	Private Equity	3298 JP		REITS											
03/20/2002	ﾕﾆｰｸ･ﾊﾟﾌﾞ･ﾌｧｲﾅﾝｽ	複数買収者	ﾃﾗﾌｧｰﾏ･ｷｬﾋﾟﾀﾙﾊﾟｰﾄﾅｰｽﾞ	2857.15	Completed													99484Z LN	52	"Diversified Finan Serv, Private Equity"			"Retail, Diversified Finan Serv, Private Equity"	2241Z LN		Real Estate											1.9235
02/03/2021	OSB Savings Bank	Potential Buyer	オリックス	2856.87	Proposed	6652.46	36.345		8147.6									8591 JP	33153	Diversified Finan Serv			Investment Companies	PURN2Z KS		Banks				251.802	219.341						6124.54
05/20/2021	インベスコ・オフィス・ジェイリート投資法人	ｲﾝﾍﾞｽｺ		2822.21	Pending					1986.1	26.5594		6508.8	96.3777	46.7644		164.759			N.A.	IVZ US	8483	Diversified Finan Serv	3298 JP		REITS						3.151	2.994				
09/07/2021	Paidy	ﾍﾟｲﾊﾟﾙ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	"伊藤忠商事,ソロス・ファンド・マネジメント,ﾋﾞｻﾞ,Eight Roads Services UK Ltd,500 Startups Management Co LLC (ﾌｧﾝﾄﾞ: 500 Startups LP),Recruit Strategic Partners Inc,Sig Asia Investment LLP,Tybourne Capital Management HK Ltd,Cherubic Ventures,JS Capital Management LLC,Arbor Ventures,サイバーエージェント・キャピタル (ﾌｧﾝﾄﾞ: CA Startups Internet Fund 2),Unknown Seller,MS Capital Inc,ＳＢＩホールディングス (ﾌｧﾝﾄﾞ: FinTechビジネスイノベーション投資事業有限責任組合),ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ (ﾌｧﾝﾄﾞ: GS Vintage VII LP),ｳｪﾘﾝﾄﾝ･ﾏﾈｼﾞﾒﾝﾄ･ｸﾞﾙｰﾌﾟ (ﾌｧﾝﾄﾞ: Wellington Hadley Harbor Master Investors Cayman I)"	2721.83	Pending					5489	17.2314		23846							"Distribution/Wholesale, Banks, Diversified Finan Serv, Investment Companies, Private Equity"	PYPL US	26500	Commercial Services	0975953D JP		Software						5.902	4.718				
05/25/2004	ソフトバンク	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ		2511.37	Completed					22005.2	10.8539	31.3246	51125.8	15799.9	18.0708	48.2946	50620.6			N.A.	VOD LN	96506	Telecommunications	9434 JP	47313	Telecommunications						0.111	0.094	116.058	109.326		
12/10/2001	ﾊﾞﾝｸ･ｵﾌﾞ･ｻﾞ･ｳｴｽﾄ	ＢＮＰパリバ	ＵＦＪホールディングス	2391.16	Completed		-26.3051		11696.1		22.72		54060.7					8307 JP		Banks	BNP FP	193319	Banks	7622Z US		Banks					34214.7	6.582	6.487				
04/13/2007	"ｴｰｴﾇｴｰ･ﾌﾟﾛﾊﾟﾃｨ･ﾏﾈｼﾞﾒﾝﾄ,ＡＮＡﾎﾃﾙﾏﾈｼﾞﾒﾝﾄ,ｴｰｴﾇｴｰﾎﾃﾙ東京,沖縄全日空ホテルズ,札幌全日空ホテル,ｴｰｴﾇｴｰﾎﾃﾙ富山,金沢全日空ホテル,ｴｰｴﾇｴｰﾎﾃﾙ成田,ｴｰｴﾇｴｰﾎﾃﾙ品川,ＡＮＡホテル大阪,広島全日空ホテル,博多全日空ホテル,沖縄全日空リゾート,石垣全日空リゾート"	ﾓﾙｶﾞﾝ･ｽﾀﾝﾚｰ	ＡＮＡホールディングス	2357.72	Completed	-1853.44	-45.9463	-23.3735	7570.23	23730	31.017		57475					9202 JP	20517	Airlines	MS US	71826	Banks			"Lodging, Real Estate"				83.075	-179.983	7.262	7.347				-2700.77
12/17/1999	life policies	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	東邦生命保険	2324.01	Completed					3807	-1.55195	19.8249	76742					0009 JP		Insurance	GE US	174000	Miscellaneous Manufactur			N.A.						4.138	2.055				
11/21/2016	Japanese residential property assets	安邦保険集団	ﾌﾞﾗｯｸｽﾄｰﾝ	2300	Withdrawn	14069	80.1148		17252									BX US	3165	Private Equity	1083236D CH		Insurance			Real Estate				4.449	3.774						2887.93
08/24/2020	武田コンシューマーヘルスケア	ﾌﾞﾗｯｸｽﾄｰﾝ	武田薬品工業	2285.39	Completed	10816.1	17.6513	70.1846	31423.3	14069	80.1148		17252					4502 JP	47099	Pharmaceuticals	BX US	3165	Private Equity	1833709D JP		Pharmaceuticals				430.074	411.46	4.449	3.774				10083.4
04/26/2017	日立国際電気	KKR		2279.9	Completed						67.2246		25464.7	264.279	12.3269	30.7352	1856.02			N.A.	KKR US	1583	Private Equity	6756 JP	4962	Telecommunications						3.919	3.623	214.775			
02/28/2017	ユー・エス・ジェイ	ｺﾑｷｬｽﾄ	"ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ,プライベート･インベスター,Owl Creek Asset Management LP,MBKﾊﾟｰﾄﾅｰｽﾞ (ﾌｧﾝﾄﾞ: MBK Partners II Inc)"	2276.22	Completed					31857	17.0106	66.8064	108991							"Diversified Finan Serv, Investment Companies, Private Equity"	CMCSA US	168000	Media	7817393Z JP		Investment Companies						3.751	3.091				
08/21/2003	ソフトバンクテレコム	複数買収者	ソフトバンク	2220.62	Completed	15799.9	18.0708	48.2946	50620.6									9434 JP	47313	Telecommunications			Private Equity	JPNTLZ JP	4309	Telecommunications				116.058	109.326						15726.1
04/06/2016	Network assets/Sprint Corp	Network LeaseCo	ソフトバンクグループ	2200	Completed	87310.3	61.8798	79.1889	128081									9984 JP	58786	Telecommunications	1398809D US		Telecommunications			Telecommunications				876.148	1007.82						84744.8
10/22/2007	アリスタライフサイエンス	ﾍﾟﾙﾐﾗ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	"Investor Group,Olympus Capital Holdings Asia (ﾌｧﾝﾄﾞ: Olympus Capital Asia II LP)"	2187.04	Completed															"Diversified Finan Serv, Private Equity"	727032Z LN		Private Equity	ARLSCZ JP		Agriculture											
01/18/2018	Claims against Westinghouse Electric Co LLC	ﾊﾞｳﾎﾟｽﾄ･ｸﾞﾙｰﾌﾟ	東芝	2160	Completed	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur	705622Z US		Diversified Finan Serv			Diversified Finan Serv				358.776	317.913						2213.22
