発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
1998-02-20,ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ･ﾎﾃﾙｽﾞ･ｸﾞﾙｰﾌﾟ,Six Continents Ltd,2889.0,,1358.0,,328.0,,,,,2195.0,MALT BEVERAGES,HOTEL/MOTEL
1998-02-24,東京ﾄﾖﾀ自動車,トヨタ自動車,12.09,30952.8,,233574.0,,7126.89,,20.57,,,VEHIC/CAR BODY,NEW/USED CARS
1998-02-27,Fabrica Nationale De Vidor,ＡＧＣ,15.86,2857.4,,10699.9,,1052.52,,22.38,,,,
1998-02-27,コルネット,アイネス,9.38,28.6578,,302.134,,0.659976,,23.86,,,,
1998-03-05,リコー精器,リコーエレメックス,28.1,,,569.394,,,,,,,,
1998-03-06,昭和薬品,アズウェル,95.88,,,3600.75,,,,0.7,,,,
1998-03-10,SCM Microsystems Japan KK,ｱｲﾃﾞﾝﾃｨﾌﾞ,8.0,,,63.854,,6.518,,,,,COMP PERIPHER,
1998-03-18,大阪スタヂアム興業,南海電気鉄道,83.39,34.3554,,1635.75,,25.7752,,10.35,,,,
1998-03-19,DIC FINANCE,Associates First Capital Corp,612.46,,,,,,,,,,PERSONL CREDIT,
1998-03-26,Sumitomo Bank Of California,ZBﾅｼｮﾅﾙ･ｱｿｼｴｰｼｮﾝ,451.54,1087.0,,,,,,,,150.036,NATL COML BANK,ST COML BANK
1998-03-27,昭和海運,日本郵船,126.13,815.059,,14838.8,,317.539,,34.8,3.39,34.9335,,
1998-03-30,PRINTER BUSINESS,セイコーエプソン,20.0,2593.4,,6482.4,,425.685,,17.2,,,,
1998-04-02,FORKLIFT SALES & LEASING UNIT,住友商事,44.8,3540.76,,38918.0,,1180.41,,32.76,,,,
1998-04-08,SKINCARE LOTION BUSINESS,花王,135.0,2597.8,,7601.15,,341.946,,40.05,,,,
1998-04-15,日本ＮＣＲ,NCR,279.56,,71.8413,5035.0,284.038,,,,71.76,50.1026,CALCULATORS,
1998-04-17,興国ハウジング,ＪＫホールディングス,21.57,165.023,,2932.15,,18.8048,,1.81,,,,
1998-04-22,TOSHIBA GLASS,AGCテクノグラス,15.89,,,,,,,2.02,,,,
1998-04-29,2 Refractory plants,品川リフラクトリーズ,76.66,40.6284,,765.815,,55.2753,,10.79,,,,
1998-05-01,3 Caesar Park hotels,ｸﾞﾙｰﾎﾟ･ﾎﾟｻﾀﾞｽ,123.03,27.7332,,278.32,,,,,,,,
1998-05-19,Roadchef Ltd,日興ｺｰﾃﾞｨｱﾙｸﾞﾙｰﾌﾟ,282.66,1303.18,,,346.973,,0.39279,,,,,
1998-05-22,セッツ,レンゴー,84.96,267.514,,5340.5,,200.488,,21.1,1.89,223.068,,
1998-05-29,Fitel-Photomatrix Inc,JDS Fitel Inc,20.62,,,116.767,,,,,,,ELEC COMP NEC,
1998-06-02,Guinness Mahon Holdings PLC,ｲﾝﾍﾞｽﾃｯｸ,122.93,1133.67,,,,,,,,,,
1998-06-04,富士通東和エレクトロン,富士通,10.59,11393.5,,23360.2,,566.685,,54.58,0.26,25.4574,,
1998-06-09,DNA Medical Technologies Inc,Pax International Inc,1498.43,,,,,,,,,,,BIOLOG PROD
1998-06-12,SANYO SECURITIES ASIA LTD,First Securities Ltd,62.8,,,,,,,,,,,
1998-06-23,JTT-501 DIABETES TREATMENT,Pharmacia & Upjohn Inc,6.0,,,1893.0,,850.0,,,,,PHARM PREPS,
1998-07-01,Dirkes Group,丸紅,9.9,2916.88,,61513.6,,,,30.39,,,,
1998-07-07,Cropcare Ltd,丸紅,16.58,2916.88,,61513.6,,,,30.39,,,,
1998-07-07,Software Subsidiary,ソフトバンクグループ,5.05,6962.65,,26905.7,,,,26.71,,,PHONE NO RADI,
1998-07-16,PROFESSIONAL SALON PRODUCT DI,資生堂,11.0,1538.55,,2413.25,,481.413,,41.09,,,,
