発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
2006-11-09,倉持薬局,カワチ薬品,11.01,235.976,,2020.86,,0.293175,,15.01,,,,DRUG STORES
2006-11-10,レックス・ホールディングス,アドバンテッジパートナーズ,510.15,,,,767.055,,,,,,,
2006-11-10,エーデルローゼン,Unnamed Buyer,4.67,,,,,,,,,,,
2006-11-10,ライフテック川崎,Unnamed Buyer,3.73,,,,,,,,,,,
2006-11-10,アガットコンサルティング,ストライダーズ,1.03,6.45839,,73.1572,,,,7.98,,,,
2006-11-13,カメラのきむら,キタムラ,6.17,164.514,,695.72,,7.01375,,1.33,,,,
2006-11-13,白松ビル,シグマ・ゲイン,15.58,5.23996,,,,,,8.71,,,,REAL EST AGENT
2006-11-14,アルティス都立大学,ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧,5.46,,,,,,,13.11,,,,
2006-11-14,八千代工業,本田技研工業,275.76,13873.7,58.0608,105612.0,1280.35,6230.93,78.6457,39.68,8.78,173.626,VEHIC/CAR BODY,
2006-11-14,ストークマンション柏,ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧,4.63,,,,,,,13.11,,,,
2006-11-14,アルティス京橋,アイビー･レジデンシャル,9.77,,,,,,,,,,NONRESID OPER,
2006-11-14,日本ＳＥ,ＤＴＳ,29.49,29.2062,,673.707,,0.21574,,35.43,,,,ELEC COMPUTER
2006-11-14,土地及び建物,長谷工コーポレーション,9.94,233.837,,6626.7,,232.556,,40.49,,,,
2006-11-15,Galileo Japan property assets,ガレリオ･ジャパン･トラスト,475.77,,,,,,,,,,,
2006-11-15,明星食品,日清食品ホールディングス,202.95,671.666,,3269.65,323.249,191.149,,18.89,,,,PRPAR FLR MXS
2006-11-15,daVinci ONARIMON,大和証券オフィス投資法人,117.48,,,,,,,22.65,,,,
2006-11-15,Access Office bldg and Doshomachi Bldg,室町特定目的会社,195.8,,,,,,,,,,REITS,
2006-11-15,Asakusa Vista Hotel,ガレリオ･ジャパン･トラスト,18.65,,,,,,,,,,,
2006-11-15,"ダヴィンチ博多,ダヴィンチ岡山,ダヴィンチ小石川,ダヴィンチ新橋 620",ブルー･ウェイ,59.16,,,,,,,,,,,
2006-11-16,メルシャン,キリンホールディングス,293.74,2585.75,,9353.88,624.436,433.572,,28.38,,,,
2006-11-17,マックスサポート,アクモス,2.93,3.94831,,26.5093,,,,1.02,,,,JOB TRAINING
2006-11-17,Crowne Plaza Hotel,City Investment Fund LP/The,362.0,,,,,,,,,,,
2006-11-17,オン・ザ・ライン,オン・ザ・ライン,32.72,,,,,,,,,,OUTDOOR AD SVC,OUTDOOR AD SVC
2006-11-17,伊勢高原カントリークラブ,トーシン,6.03,7.66256,,158.846,,0.175764,,1.66,,,,
2006-11-17,ニッショードラッグ,キリン堂,44.96,116.13,,736.838,,0.559756,,3.5,,,,
2006-11-17,土地及び建物,アーバン・アセットマネジメント,12.32,,,,,,,,,,REITS,
2006-11-17,ベルテクノ,ウッドワン,113.16,42.3075,,411.237,167.553,56.4958,,3.32,,,,
2006-11-20,福住建材,北恵,1.48,25.1084,,468.78,,0.0137904,,1.08,,,,GEN CONSTR/SF
2006-11-20,Birla NGK Insulators Pvt Ltd,ｱﾃﾞﾃｨﾔ･ﾋﾞﾙﾗ･ﾇｳﾞｫ,6.74,223.011,,,,37.2396,,12.79,,,,
2006-11-20,能美防災,セコム,119.05,1047.64,134.063,6574.38,696.089,99.4756,40.3851,41.57,10.09,227.093,,
2006-11-21,ウィンズ・インターナショナル,オープンインタフェース,1.69,4.5578,,8.7183,,,,0.1,,,,TV STATIONS
2006-11-21,ジャパン,スギホールディングス,62.5,606.002,42.9967,4008.93,478.545,,0.574373,31.68,11.4,104.523,,
2006-11-21,特種製紙,東海パルプ,275.84,16.0662,3.14822,443.476,148.338,,,0.97,10.69,27.2304,,
2006-11-21,Manoa Okamoto,パシフィックホールディングス,6.99,,,,,,,,,,,
2006-11-21,Cougar Holdings Pte Ltd,MYP,4.18,0.752886,,,,,,,,,,HOLDING CO NEC
2006-11-22,ライブドアファイナンシャルホールディングス,アドバンテッジパートナーズ,149.83,,,,,,,,,,,INVEST ADVICE
2006-11-22,トヨタカローラ愛豊,ＡＴグループ,145.26,272.334,,3314.52,,10.3336,,12.23,,,,AUTO DLR NEC
2006-11-22,Honjyo Shopping Center,ﾕﾆｰｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,18.84,860.621,,5460.18,,,,20.94,,,,
2006-11-22,エスクルー,サイバードホールディングス,1.28,,,139.478,,,,,,,,INFO RETR SVC
2006-11-22,トヨタＬ＆Ｆ中部,ＡＴグループ,57.15,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,ネッツトヨタ東海,ＡＴグループ,80.32,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,土地及び建物,日新製鋼,22.26,299.44,,,,327.147,,,,,METAL SVC CNTR,
2006-11-22,トヨタ情報システム愛知,ＡＴグループ,23.99,272.334,,3314.52,,10.3336,,12.23,,,,PRGRMNG SVC
2006-11-22,アトコ,ＡＴグループ,6.96,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,愛知トヨタ総合開発,ＡＴグループ,7.62,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,愛知スズキ販売,ＡＴグループ,24.8,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,愛知クレジットサービス,ＡＴグループ,15.45,272.334,,3314.52,,10.3336,,12.23,,,,PERSONL CREDIT
2006-11-22,ネッツトヨタ愛知,ＡＴグループ,96.17,272.334,,3314.52,,10.3336,,12.23,,,,NEW/USED CARS
2006-11-22,トヨタホーム愛知,ＡＴグループ,4.29,272.334,,3314.52,,10.3336,,12.23,,,,GEN CONSTR/SF
2006-11-22,トヨタレンタリース愛知,ＡＴグループ,150.36,272.334,,3314.52,,10.3336,,12.23,,,,
2006-11-24,プロパティマネージメント,ＭＡＧねっとホールディングス,10.87,1.04208,,,,,,0.17,,,,REAL EST AGENT
2006-11-27,グランルージュ栄,ユナイテッド・アーバン投資法人,13.52,,,,,,,,,,,
2006-11-27,Valve Business,栗本鐵工所,15.5,73.7953,,777.718,,24.7084,,12.41,,,,
2006-11-27,土地及び建物,大創産業,30.89,,,,,,,,,,MISC RTAIL NEC,
2006-11-27,Equipment hire and related businesses,日興ｺｰﾃﾞｨｱﾙｸﾞﾙｰﾌﾟ,110.57,1303.18,,,,,,,,,,
2006-11-28,Amcel,複数買収者,51.7,,,,,,,,,,,
2006-11-28,土地及び建物,まんだらけ,13.99,22.6861,,41.1864,,0.18572,,3.17,,,,
2006-11-28,ﾊﾞﾝｸ･ﾇｻﾝﾀﾗ･ﾊﾟﾗﾋｬﾝｶﾞﾝ,複数買収者,66.37,,17.2991,,,,,,,28.7446,,
2006-11-28,リアラス,サミーネットワークス,10.67,,,54.3799,,,,,,,,AMUSEMENT SVC
2006-11-29,パルコスペースシステムズ,パルコ,2.91,132.736,,760.971,,0.889248,,5.03,,,,NONRES BLDGS
2006-11-29,土地及び建物,広済堂ホールディングス,9.87,22.8942,,220.049,,1.71775,,4.07,,,,
2006-11-29,Brilliant Manufacturing Ltd,日本電産,118.45,2762.86,14.1765,12825.0,,1077.49,6.80159,35.79,,79.6103,MOTOR/GENERATR,
2006-11-30,ロイヤルフォレストゴルフ倶楽部,Field Point IV Sarl,15.81,,,,,,,,,,INVEST MGMT OE,
2006-11-30,Sofec Inc,三井海洋開発,54.4,41.1909,,3809.89,,,,16.19,,,,CONSTR MACHINE
2006-12-01,Ｄ.Ｂ.ビル,Unnamed Buyer,24.73,,,,,,,,,,,
2006-12-01,One Sub-Panamax Container vessel,ｺﾞｰﾙﾃﾞﾝﾎﾟｰﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,17.0,1.968,,,,,,,,,,
2006-12-04,デンコードー,ケーズホールディングス,225.01,540.168,,5068.28,814.136,0.976404,,26.7,,,,
2006-12-04,土地及び建物,東京建物,14.37,107.025,,2310.41,,,,37.73,,,,
2006-12-05,Nissan France SA,日産自動車,9.86,3615.94,13.0083,68581.3,,3849.72,,64.64,,1105.93,VEHL WHOLESALE,
2006-12-05,オースリー,ワッツ,10.01,62.0886,,290.245,,0.110239,,4.43,,,,MISC GENL STOR
2006-12-05,リビングファースト,システムソフト,1.3,0.887608,,29.749,,,,0.65,,,,
2006-12-05,オースリー,ワッツ,4.9,62.0886,,290.245,,0.110239,,4.43,,,,MISC GENL STOR
2006-12-05,バンダグ,ブリヂストン,934.08,2491.13,,18272.2,668.975,1339.0,,22.78,,252.842,,TIRE REPAIR
2006-12-05,プライマリーセル,コスモ・バイオ,3.2,8.74228,,51.5221,,0.232333,,2.835,,,,DRUGS/SUNDRIES
2006-12-06,container terminal operations,複数買収者,351.8,,,,,,,,,,,
2006-12-06,大宮センタービル,ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE),104.27,,,55854.0,,7937.0,,,,,ELECT EQUIP,
2006-12-06,Shima - Orsi Srl,島精機製作所,50.54,37.3363,,198.504,,65.3829,,19.58,,,,
2006-12-07,Esaka Parking Place and Storehouse,インタープラネット,13.16,,,,,,,,,,,
2006-12-07,Certain Assets,シティグループ,54.19,22214.0,,,,,,,,,NATL COML BANK,
2006-12-07,Corbon Holding SAS,パラマウントベッド,7.5,,,352.337,,,,,,,,MED/HOSP EQUI
2006-12-07,Gyoda Distribution Centre/Saitama,ﾒｰﾌﾟﾙﾂﾘｰ･ﾛｼﾞｽﾃｨｸｽ･ﾄﾗｽﾄ,15.69,,,,,,,,,,,
2006-12-08,丸主中柏水産,ＲＩＺＡＰグループ,5.16,370.92,,865.379,,7.12413,,0.5,,,,
2006-12-08,山城精機製作所,ミライアル,10.9,2.79141,,70.4506,,1.95977,,17.85,,,,ELEC COMP NEC
2006-12-08,土地及び建物,安田不動産,37.83,,,,,,,,,,,
2006-12-08,物林,ＪＫホールディングス,3.87,165.023,,2932.15,,18.8048,,1.81,,,,FORESTRY SVS
2006-12-11,土地及び建物,りんかい日産建設,22.35,,,,,,,,,,,
2006-12-11,Certain Assets,ﾂｶﾀﾞ･ｸﾞﾛｰﾊﾞﾙﾎｰﾙﾃﾞｨﾝｸﾞ,5.14,32.9546,,243.031,,4.65634,,4.99,,,,
2006-12-11,ライフ＆シニアハウス港北,日本ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人,16.7,,,,,,,32.89,,,,
2006-12-11,フィリピン発電事業,複数買収者,3424.0,,,,,,,,,,,
2006-12-11,Fujitsu TDS GmbH,富士通,117.48,11393.5,71.0363,23360.2,167.353,566.685,,54.58,,145.989,,
2006-12-12,Xanavi Informatics Corp,クラリオン,119.57,,,1233.02,,62.6342,,15.22,,,,
2006-12-12,イーシステム,キヤノン電子,29.89,29.4127,,581.969,31.3393,1.38432,,11.2,,,,
2006-12-12,Nomadix Inc,インテア・ホールディングス,12.9,3.85156,,47.6564,,,,1.16,,,,COMPUT/SOFT
2006-12-12,ソフトウェアサービス,エー・アンド・アイ システム,8.28,,,79.8833,,,,,,,,COMPUT/SOFT
2006-12-13,テクノサッシュ本社工場,大和地所レジデンス,5.28,,,812.078,,,,,,,,
2006-12-13,ＧＭＯインターネット,プライベート･インベスター,64.93,,204.886,,1034.58,,,,32.11,728.833,,
2006-12-13,東映ラボ・テック,東映,27.29,130.46,,661.158,24.6512,3.76096,,15.77,,,,GASKETS
2006-12-13,コムシード,Cykan Entertainment Co Ltd,1.72,,3.24288,,10.6601,,0.0102794,,52.73,5.57001,GAME/TOY/VEHL,
2006-12-14,Certain Assets,複数買収者,161.36,,,,,,,,,,,
2006-12-14,資生堂物流サービス,日立物流,23.78,1519.31,,5707.41,,5.28885,,14.67,,,,TRANS SVC NEC
2006-12-14,EMIミュージック・ジャパン,EMI Group Ltd,178.34,,,2017.42,,,,,,,,RECORDS/TAPES
2006-12-14,アクディア,ＲＩＺＡＰグループ,3.4,370.92,,865.379,,7.12413,,0.5,,,,BUSINESS SVC
2006-12-14,トッパングラフィック王子,図書印刷,29.03,41.6283,,386.832,,5.19094,,14.0,,,,
2006-12-15,鳥羽志摩ネットワークセンター,アイティービー,8.37,,,,,,,,,,TV STATIONS,
2006-12-15,Central Finance Office Building in Nagoya,ルビコン･ジャパン･トラスト,21.17,,,,,,,,,,,
2006-12-15,ノーマディック,スタイライフ,3.26,11.0198,,53.0126,,0.399843,,0.5,,,,DEPT STORES
2006-12-15,グラフテック,ﾄﾞｯﾄｳｴﾙﾋﾞｰ･ｴﾑ･ｴｽ,40.23,,,123.137,63.1419,,,,,,,
2006-12-15,ティー・エムマーケティング,インテージホールディングス,7.87,69.4634,,366.715,,0.82534,,28.4,,,,NONCOML RSRCH
2006-12-15,Gallaher Group Ltd,日本たばこ産業,19019.6,2883.87,538.474,8707.49,2943.9,3241.02,305.929,12.19,,940.718,,
2006-12-15,インストアメディア,ユニカフェ,2.54,5.92768,,115.265,,7.75479,,0.63,,,,EATING PLACE
2006-12-18,土地及び建物,新成建設株式会社,21.23,,,175.703,,,,,,,,
2006-12-18,シーエヌエー,シスメックス,14.44,8.45207,5.2025,1487.39,7.35804,73.2664,0.0230717,41.08,4.4,6.46072,,
2006-12-19,ｸｯｼｭﾏﾝ&ｳｪｲｸﾌｨｰﾙﾄﾞ,ＩＦＩＬインベストメント,625.0,,,,,,,,,,,REAL EST AGENT
2006-12-19,NU chayamachi,阪急阪神リート投資法人,16.36,,,,,,,8.31,,,,
2006-12-19,ケーユーエィ北陸,ユー・エス・エス,4.06,28.1861,,277.118,,2.1517,,30.98,,,,NEW/USED CARS
2006-12-19,パシフィックタワー麻布十番,日本ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人,76.82,,,,,,,32.89,,,,
2006-12-20,ﾃﾞｨｰｼｰｶｰﾄﾞ,三菱ＵＦＪニコス,293.24,279.977,,,,,,,,,,
2006-12-20,サンテレホン,複数買収者,538.64,,,,398.824,,,,,,,
2006-12-20,イースタンリース,東計電算,1.11,13.3926,,96.1448,,0.117164,,3.3,,,,EQUI RENT NEC
2006-12-20,２４山京ビル,新学社,18.57,,,,,,,,,,PERIODICALS,
2006-12-20,Proerty at 2-3-7 Kanda Suda/Chiyoda,日本ビルファンド投資法人,7.6,,,,,,,28.0,,,,
2006-12-20,高南メディカル,日清医療食品,2.28,,,1968.46,,,,,,,,MEDICINALS/BOT
2006-12-20,パシフィックレジデンス恵比寿,日本ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人,29.54,,,,,,,32.89,,,,
2006-12-20,Bill Blass Holding Co Inc,ﾈｸｾﾝ･ﾌﾞﾗﾝｽﾞ,54.6,,,10.777,,,,,,,MISC INVSTRS,MISC APPRL
2006-12-20,"St Ives Financial Ltd,St Ives Financial Inc,St Ives Financial Japan KK",Donnelley Financial LLC,8.0,,,468.955,,,,,,,LITHO PRINTING,
2006-12-21,ニュース・サービス・センター,サイバーエージェント 　,1.14,195.955,,4043.45,,,,44.06,,,ADVERT AGENCY,INFO RETR SVC
2006-12-21,三井情報開発,三井情報,176.82,68.1298,10.8254,338.85,170.201,,,5.41,7.11,30.1329,,
2006-12-21,ペンタックス,ＨＯＹＡ,945.34,1132.01,141.02,885.378,929.343,278.754,,63.32,25.62,408.696,,
2006-12-21,eTen Inc,スカパーＪＳＡＴ,3.49,,,482.537,,,,,,,,PRODUCE VIDEOS
2006-12-21,Sakhalin Energy Investment Co Ltd,ｶﾞｽﾌﾟﾛﾑ,7450.0,11791.9,,,,2686.02,,,,,,
2006-12-21,アリスタライフサイエンス,Olympus Capital Holdings Asia,202.4,,,,,,,,,,,
2006-12-21,Certain Assets,ＣＢグループマネジメント,2.07,49.2597,,1234.91,,2.45005,,4.51,,,,
2006-12-21,Certain Assets,ＣＢグループマネジメント,7.05,49.2597,,1234.91,,2.45005,,4.51,,,,
2006-12-21,土地及び建物,スターキャピタル,1.27,,,,,,,,,,,
2006-12-22,土地及び建物,プロパスト,18.88,4.11241,,125.44,,0.0182682,,1.32,,,,
2006-12-22,Dah Sing General Insurance Co,大新金融集団[ﾀﾞｰｼﾝ･ﾌｧｲﾅﾝｼｬﾙ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ],5.0,273.556,,,,,,,,,,ACC/HEALTH INS
2006-12-25,ハイスクール,アマナ,1.48,40.6626,,94.0411,,0.306864,,1.22,,,,PRODUCE VIDEOS
2006-12-25,アサヒ工業,ニチレキ,1.82,40.3266,,528.465,,6.59976,,21.83,,,,
2006-12-25,静岡ターミナルホテル,東海旅客鉄道株式会社,3.93,864.951,,7603.67,,163.303,,21.38,,,,HOTEL/MOTEL
2006-12-25,名古屋パルプ,大王製紙,78.73,185.446,,3939.8,,258.883,,10.8,,,,PAPER MILLS
2006-12-25,デジタルアーカイブ・ジャパン,アマナ,6.28,40.6626,,94.0411,,0.306864,,1.22,,,,BUSINESS SVC
2006-12-25,名古屋ターミナルホテル,東海旅客鉄道株式会社,3.96,864.951,,7603.67,,163.303,,21.38,,,,HOTEL/MOTEL
2006-12-25,土地及び建物,梅田運輸倉庫,2.4,,,,,,,,,,LOCL TRK NO ST,
2006-12-26,旭ダンケ,ＡＤ企画,64.6,,,,87.3097,,,,,,CONCRETE PROD,
2006-12-26,土地及び建物,ビューティ花壇,1.56,2.94009,,42.8614,,0.356675,,0.141,,,,
2006-12-26,筒中プラスチック工業,住友ベークライト,18.58,429.971,,1579.2,315.283,154.543,,22.37,2.46,82.9802,,
2006-12-26,Yau Lee Centre 7-9F,Conpearl Holdings Ltd,2.5,,,,,,,,,,,
2006-12-26,住信リース,三井住友信託銀行,13.23,2812.7,,,,,,,10.78,45.0633,COML BANK NEC,
2006-12-26,土地及び建物,レオパレス２１,19.37,199.048,,3581.63,,4.49326,,15.59,,,,
2006-12-26,宮前ショッピングセンター,ユナイテッド・アーバン投資法人,44.57,,,,,,,,,,,
2006-12-26,土地及び建物,三菱地所,1.86,242.667,,8633.65,,,,42.79,,,,
2006-12-26,テクシードコンパス,日本テクシード,1.43,,,89.3464,,,,,,,,
2006-12-27,池上倉庫,モリモト,10.47,,,820.796,,,,,,,,
2006-12-27,クレアス,複数買収者,623.77,,13.6113,,373.565,,,,1.4,38.2677,,
2006-12-27,SCA Packaging Asia,スベンスカ･セルローサ,6.5,360.84,,,,179.73,,39.0,,,,
2006-12-28,土地及び建物,セントラル総合開発,2.69,8.68684,,202.471,,0.0321852,,2.0,,,,
2006-12-29,コブコ,ＲＩＳＥ,6.97,0.622586,,0.657476,,,,1.54,,,,TRUST/FOUNDATN
2007-01-02,Carat International B.V.,日立工機,30.3,,,1076.91,,59.9048,,1.08,,,,
2007-01-04,Charles River Laboratories Japan Inc,ﾁｬｰﾙｽﾞﾘﾊﾞｰ･ﾗﾎﾞﾗﾄﾘｰｽﾞIntl,10.9,,,2138.61,,28.317,,,,,COML RESEARCH,
2007-01-05,DP World's australian logistic business,複数買収者,156.0,,,,,,,,,,,
2007-01-05,Nippon Paint Thailand Co Ltd,日本ペイントホールディングス,11.11,1225.78,,5246.01,,296.786,,58.67,,,,PAINT REL PROD
2007-01-05,ダイチク,アインホールディングス,46.3,106.195,,2374.15,,2.43367,,33.06,,,,DRUG STORES
2007-01-06,Kosaido Thomson Pty Ltd,Citta Property Group Pty Ltd,12.63,,,,,,,,,,,INVEST OFF NEC
2007-01-09,ペットライフ,シャディ,4.03,,,493.412,,,,,,,GROCERIES,ACC/HEALTH INS
2007-01-10,システムイン郡山,パシフィックネット,1.25,6.42277,,26.9328,,0.0696383,,13.49,,,,
2007-01-10,Long-term building lease,ｴｸｲﾆｸｽ,7.5,,,3392.72,,,,,,,REITS,
2007-01-12,eDongAsia,三井物産,2.7,2800.69,,87593.0,,462.21,,30.06,,,PETR PROD NEC,PHONE NO RADI
2007-01-15,ＮＥＯＭＡＸ,日立金属,100.89,1249.74,40.0029,6977.86,765.06,424.573,,23.82,,128.384,,
2007-01-15,Integrated Resources Holdings Inc,丸紅,66.42,2916.88,,61513.6,,,,30.39,,,,
2007-01-15,ｱｽﾄﾏｯｸｽ･ﾌﾟﾛｯﾌﾟ･ﾄﾚｰﾀﾞｰｽﾞ,アストマックス,21.45,6.63993,,,,,,0.13,,,,
2007-01-15,Factory and 23 Cleaning Shops,きょくとう,1.7,19.3027,,13.596,,0.255443,,0.2,,,,
2007-01-15,土地及び建物,明豊エンタープライズ,14.95,3.85955,,76.3163,,,,7.38,,,,
2007-01-15,三共生興ファッションサービス,三共生興,3.12,13.9421,,89.8473,,0.0361631,,13.96,,,,
2007-01-17,マルコ製薬,日医工,1.04,,,1589.35,,293.97,,11.85,,,,
2007-01-17,土地及び建物,ヤマト科学,9.29,,,,,,,,,,LAB APPAR/FURN,
2007-01-18,ｼﾞｭｴﾘｰﾀﾜｰＴＡＳＡＫＩ銀座店,日本ビルファンド投資法人,140.15,,,,,,,28.0,,,,
2007-01-18,ジャパンギャルズ,ＲＩＺＡＰグループ,3.3,370.92,,865.379,,7.12413,,0.5,,,,DRUGS/SUNDRIES
2007-01-18,ナノシステムソリューションズ,レイテックス,8.78,2.28812,,12.2384,,3.321,,1.03,,,,MEAS/CONTR NEC
2007-01-18,神明電機,神明電機,5.64,,,,52.2511,,,,,,,
2007-01-19,日本技術開発,エイトコンサルタント,8.76,,25.6192,101.556,46.5236,,,,0.01,12.8201,,
2007-01-19,リッツコート宮町,パワーバリュエーション,3.22,,,,,,,,,,NONRESID OPER,
2007-01-19,ピーエスアール武蔵,パシフィックホールディングス,116.25,,,,,,,,,,,GOLF COURSES
2007-01-22,ツバキ・ナカシマ,野村ホールディングス,692.57,4791.14,,,208.747,,,33.45,,,SEC BROKER/DLR,
2007-01-22,ＵＴＤエンターテイメント,インデックス,2.2,13.1403,,124.962,,0.102145,,0.23,,,,AMUSEMENT SVC
2007-01-22,土地及び建物,新宿ﾌｧｰｽﾄﾌﾟﾛﾊﾟﾃｨｰ特定目的会社,128.27,,,,,,,,,,REAL EST AGENT,
2007-01-23,三和興行,東宝,3.55,187.18,,1384.63,,4.1819,,14.41,,,,ELEVATORS
2007-01-23,Kawauchi Nagano/employee Housing,徳新建設,1.72,,,,,,,,,,INDUS BLD/WARE,
2007-01-23,フロイントゥ三田ビル,ユニディオ,26.34,,,,,,,,,,,
2007-01-24,ｲﾝﾀｰﾈｯﾄ ｾｷｭﾘﾃｨ ｼｽﾃﾑｽﾞ,IBM,4.89,,7.26835,38558.0,27.082,,,,97.61,15.1504,COMPUTR/OFFICE,
2007-01-24,インタースコープ,Zホールディングス,10.38,1295.01,,4345.61,,,,20.3,,,,ADVERT NEC
2007-01-24,Somerset Azabu East TMK,ｱｽｺｯﾄ･ﾚｼﾞﾃﾞﾝｽ･ﾄﾗｽﾄ,47.11,41.7512,,,,,,,,,,
2007-01-24,Susono,ｱｽﾄﾛ･ｼﾞｬﾊﾟﾝ･ﾌﾟﾛﾊﾟﾃｨ･ｸﾞﾙｰﾌﾟ,21.41,,,,,,,,,,,
2007-01-25,土地及び建物,フジヒサＦＪ,8.52,,,,,,,,,,REAL EST AGENT,
2007-01-25,ＮＴ販売,新光商事,3.37,43.9772,,996.687,,,,17.69,,,,ELEC COMP NEC
2007-01-25,モバイルコンテンツ,ドワンゴ,1.12,1.12438,,230.689,,0.0310596,,19.66,,,,INFO RETR SVC
2007-01-25,InfoPrint Solutions Co LLC,リコー,369.75,5172.9,,10691.0,,,,42.51,,,PHOTOG EQUIP,LITHO PRINTING
2007-01-25,InfoPrint Solutions Co LLC,リコー,355.25,5172.9,,10691.0,,,,42.51,,,PHOTOG EQUIP,LITHO PRINTING
2007-01-26,白石,オリエンタル白石,144.3,16.1872,,433.735,425.043,2.02513,,,,,,
2007-01-26,カーネル･キャピタル,コージツ,1.84,,,92.5867,,,,,,,,REAL EST AGENT
2007-01-27,マインズ博多駅東,ｹｰｴｰｼﾞｰ･ﾌｫｰ･ｲﾝﾍﾞｽﾄﾒﾝﾄ,5.0,,,,,,,,,,NONRESID OPER,
2007-01-29,ＩＰネットサービス,エフティグループ,4.92,50.0993,,235.116,,0.515324,,1.61,,,,PHONE NO RADI
2007-01-29,四電エンジニアリング,四国電力,10.75,497.125,,2460.7,,,,10.67,,,,INDUS BLD/WARE
2007-01-29,エネゲート,大崎電気工業,70.4,52.6462,,553.118,,65.6541,,17.98,,,,INST ELEC TEST
2007-01-29,水上高原資産,シティグループ,27.07,22214.0,,,,,,,,,NATL COML BANK,
2007-01-29,土地及び建物,三菱地所,9.44,242.667,,8633.65,,,,42.79,,,,
2007-01-29,オービーエム城東,エフティグループ,5.17,50.0993,,235.116,,0.515324,,1.61,,,,PHONE NO RADI
2007-01-29,大新東,シダックス,157.52,55.5988,,934.865,280.206,5.6324,,3.66,,,,
2007-01-29,総合システムサービス,ＤＴＳ,2.63,29.2062,,673.707,,0.21574,,35.43,,,,
2007-01-29,四電技術コンサルタント,四国電力,2.49,497.125,,2460.7,,,,10.67,,,,OPERATIVE BLDR
2007-01-30,マメックス,カサイホールディングス,3.04,,,,,,,,,,VEHICLE PARTS,GROCERIES
2007-01-30,セムコーポレーション,ＳＢＩホールディングス,83.03,544.291,,1875.01,,,,45.59,,,,MISC INVSTRS
2007-01-30,日本コンベヤ相馬工場,ＩＨＩ,2.88,2144.51,,8872.41,,1302.51,,25.59,,,,
2007-01-30,福岡食品センター,東京建物,1.16,107.025,,2310.41,,,,37.73,,,,
2007-01-30,Canon Finetech Shenzhen Co Ltd,ニスカ,10.8,,,345.228,,,,,,,,OFFICE MACHINE
2007-01-30,商業施設14物件,東京建物,128.66,107.025,,2310.41,,,,37.73,,,,
2007-01-31,ドイト,パン・パシフィック・インターナショナルＨＤ,122.83,1495.0,,11487.2,,,,59.39,,,,HOMEFURNISHNG
2007-01-31,トーエネック,中部電力,41.68,1271.41,101.642,,1666.17,,26.9325,21.57,5.34,188.964,,
2007-01-31,China Energy Industry Group Co Ltd,コージツ,1.28,,,92.5867,,,,,,,,
2007-02-01,会員事業及び標章事業,ベネフィット・ワン,2.49,27.7428,,189.56,,0.289305,,20.22,,,,
2007-02-01,Sonoma Coal Project,ＪＦＥ商事ホールディングス,11.6,236.003,,24965.5,,210.407,,17.29,,,,
2007-02-02,三菱ウェルファーマ,田辺三菱製薬,4217.95,,240.625,1692.67,668.044,132.382,,18.14,,920.222,,
2007-02-02,コナカコーポレーション,昭和住宅,1.17,,,,,,,,,,NONRESID OPER,NONRESID OPER
2007-02-02,昭栄エレクトロニクス,太陽誘電,18.57,138.912,,2090.65,,161.848,,29.77,,,,ELEC COMPUTER
2007-02-05,夢真不動産販売,夢真ホールディングス,5.03,47.615,,,,0.0206197,,3.891,,,,REAL EST AGENT
2007-02-05,土地及び建物,タイシ,1.08,,,,,,,,,,REAL EST AGENT,
2007-02-05,土地及び建物,タイシ,6.15,,,,,,,,,,REAL EST AGENT,
2007-02-05,小田島,アルフレッサ ホールディングス,9.34,709.851,,22513.7,,45.4932,,31.53,,,,METAL STAMP
2007-02-05,アクシコ,日本産業ホールディングズ,1.25,,,6.19201,,,,,,,,ADVERT AGENCY
