取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	11/20/2012	カワムラサイクル	マックス		11.63	Completed					89.8957	10.5632	42.502	625.71	4.01819	6.35086	44.2462	44.637			N.A.	6454 JP	2507	Machinery-Diversified	7311 JP	558	Healthcare-Products						129.55	117.81		
M&A	03/29/2005	シエコ北海石油	複数買収者	石油天然ガス金属鉱物資源機構	11.62	Completed													JNOZ JP		N.A.			"Distribution/Wholesale, Oil&Gas"	CECNSZ JP		Oil&Gas									
M&A	02/25/2003	Kose Komuten	ＡＶＡＮＴＩＡ		11.62	Completed					15.854	3.42755	15.1877	398.464							N.A.	8904 JP	530	Real Estate	KSKMTZ JP		Real Estate									
M&A	04/05/2018	Nursing home properties/Chiba	ソフトバンクグループ		11.62	Completed					87310.3	61.8798	79.1889	128081							N.A.	9984 JP	58786	Telecommunications			Real Estate						876.148	1007.82		
M&A	08/20/2014	餅、米飯、粉製品等の製造及び販売事業	サトウ食品	Kimura Shokuhin KK	11.61	Pending					37.5604	3.7067	38.802	430.465					MLMURZ JP		Food	2923 JP	615	Food			Food									
M&A	05/09/2014	ニッテツ北海道制御システム株式会社	日鉄テックスエンジ		11.6	Completed					139.007	4.9395	9.79935	2272.64							N.A.	1819 JP	11095	Engineering&Construction	0187190D JP		Electronics									
M&A	09/29/2011	テラ･ヘルスプロモーション	ﾌｧｰﾏﾗｲｽﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ		11.6	Completed					24.3733	2.38132	15.4193	492.398							N.A.	2796 JP	1950	Pharmaceuticals	TRHPRZ JP		Pharmaceuticals									
M&A	02/04/2011	千秋オフィスサービス	ヒューリック/旧	"大成建設,東京建物,安田不動産"	11.59	Completed					319.287	26.5482	35.3295	938.833							"Real Estate, Engineering&Construction"	3265 JP	375	Real Estate	CHOFSZ JP		Commercial Services						50.645	56.795		
M&A	08/24/2011	土地及び建物	Niigata My Home Center KK	新潟交通	11.59	Completed	14.9212	-0.588845	24.4476	136.181									9017 JP	1415	Transportation	5778293Z JP		Real Estate			Real Estate									
M&A	07/25/2019	日立化成商事	新興電気	昭和電工マテリアルズ	11.59	Pending	518.417	1.95863	24.2933	5567.76									4217 JP	23095	Chemicals	SNKDKZ JP		Electronics	7820937Z JP		Distribution/Wholesale				138.173	126.007				
M&A	06/07/2011	ナノ・メディア	ウェルネット		11.59	Completed					8.77224	6.41844	15.0525	83.0486	-0.0297456	-11.0679	33.8949	37.964			N.A.	2428 JP	129	Commercial Services	3783 JP		Internet									
M&A	10/25/2001	エル カクエイ　　　　　　　　　　　　	株式会社長谷工不動産		11.57	Completed					-471.993	-40.2156	-23.6095	1194.85							N.A.	8874 JP		Real Estate	8826 JP		Real Estate									
M&A	07/30/2010	東日本総合計画株式会社	パスコ	東武鉄道	11.57	Completed	566.453	0.664487	23.3876	4755.01	56.975	7.77754	25.7515	523.032					9001 JP	20345	Transportation	9232 JP	2783	Commercial Services	TBKIKZ JP		Commercial Services				147.273	31.995				
