取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	10/18/1999	さくら銀行	三井住友銀行		44815.05	Completed						25.0522		25131.5		16.4795		14179.2			N.A.	8318 JP	58127	Banks	8314 JP	24184	Banks									
M&A	09/29/2020	ＮＴＴドコモ	日本電信電話		40268.03	Completed					29882.3	13.7537	50.5722	113368	14332.2	19.3267		44573.5			N.A.	9432 JP	324667	Telecommunications	9437 JP		Telecommunications						322.011	308.944		
M&A	07/17/2016	ARM Ltd	ソフトバンクグループ		31593.84	Completed					87310.3	61.8798	79.1889	128081		2.25357		1896.16			N.A.	9984 JP	58786	"Telecommunications, Building Materials"	2243469Z LN		Semiconductors						876.148	1007.82		
M&A	08/24/2004	ＵＦＪホールディングス	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		29900.37	Terminated						27.1035		34490.3		-26.3051		11696.1			N.A.	8316 JP	86781	Banks	8307 JP		Banks						517.919	492.006		34214.7
M&A	02/18/2005	ＵＦＪホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		29798.99	Completed						25.3749		51513.7		-26.3051		11696.1			N.A.	8306 JP	138161	Banks	8307 JP		Banks						77.317	75.312		34214.7
M&A	09/22/2011	住友金属工業	日本製鉄		23791.69	Completed					4670.09	3.75005	14.5939	48848.7	2103.85	3.47801	12.0516	18713			N.A.	5401 JP	106226	Iron/Steel	5405 JP	23007	Iron/Steel						317.183	432.033	14.782	-0.104
M&A	09/08/2017	キオクシア	複数買収者	東芝	19467.88	Withdrawn	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Telecommunications, Home Furnishings, Computers, Semiconductors"	1519337D JP		Computers				358.776	317.913				
M&A	09/20/2017	キオクシア	複数買収者	東芝	17957.62	Completed	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Private Equity, Computers, Semiconductors"	1519337D JP		Semiconductors				358.776	317.913				
M&A	11/20/2015	関西国際空港及び大阪国際空港特定空港運営事業	複数買収者	新関西国際空港	17913.85	Completed	450.516	42.1296		585.495									0570194D JP	43	Engineering&Construction			"Telecommunications, Apparel, Home Builders, Home Furnishings, Engineering&Construction, Transportation, Electric"			Engineering&Construction									
M&A	06/27/2017	キオクシア	複数買収者	東芝	17796.76	Withdrawn	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Private Equity, Computers"	1519337D JP		Computers				358.776	317.913				
M&A	03/17/2006	ソフトバンク	ソフトバンクグループ	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ	17527.54	Completed	22005.2	10.8539	31.3246	51125.8	87310.3	61.8798	79.1889	128081	15799.9	18.0708	48.2946	50620.6	VOD LN	96506	Telecommunications	9984 JP	58786	Telecommunications	9434 JP	47313	Telecommunications				0.111	0.094	876.148	1007.82	116.058	109.326
M&A	06/10/2003	りそなホールディングス	日本		16634.71	Completed										26.9868		7399.92			N.A.	1319293D JP		N.A.	8308 JP	20308	Banks								64.31	60.054
M&A	04/20/2005	イトーヨーカ堂ＳＨＣ	セブン‐イレブン･ジャパン		14594.72	Completed					2255.03	15.56	47.3577	11182.6	3002.85	6.94659	28.1027	30478.6			N.A.	8183 JP	6567	Retail	8264 JP	37162	Retail									
M&A	04/13/2001	ＮＫＫ	ＪＦＥスチール		12350.98	Completed					3987.84	3.34191	10.4733	33980.2	1232.96	5.05357	17.6339	10935.6			N.A.	5403 JP	42923	Iron/Steel	5404 JP	25653	Metal Fabricate/Hardware									
M&A	10/30/2009	ＪＸ金属	ＥＮＥＯＳ		11766.06	Completed					2473.53	0.908297	5.68064	73573.5	1192.15	1.35936	6.63903	31814.4			N.A.	5001 JP	6287	Oil&Gas	5016 JP	1390	Mining								59.002	50.808
M&A	12/16/1999	ＫＤＤ	ＫＤＤＩ		11330.13	Completed					16701.9	19.3695	45.0116	50439.5							N.A.	9433 JP	47320	Telecommunications	9431 JP	5289	Telecommunications						307.945	296.211		
M&A	05/13/2011	野村土地建物	野村ホールディングス	"大林組,ジャフコグループ株式会社,楽天損害保険"	11007.73	Completed					3799.31	8.44581		14167.3							"Insurance, Private Equity, Engineering&Construction"	8604 JP	26647	Diversified Finan Serv	5604349Z JP		Real Estate						80.307	75.959		
M&A	12/16/1999	日本移動通信　　　　 　　　　　　	ＫＤＤＩ		10710.13	Completed					16701.9	19.3695	45.0116	50439.5							N.A.	9433 JP	47320	Telecommunications	IDOZ JP		Telecommunications						307.945	296.211		
M&A	10/04/2000	東海銀行	ＵＦＪホールディングス		10613.8	Completed						-26.3051		11696.1		-19.042		6317.3			N.A.	8307 JP		Banks	8321 JP	11324	Banks							34214.7		
M&A	04/19/2000	三菱UFJ信託銀行	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		9994.83	Completed						25.3749		51513.7		25.1558		6784.74			N.A.	8306 JP	138161	Banks	8402 JP	13733	Banks						77.317	75.312		
M&A	11/18/2019	Unnamed Target	Zホールディングス	"ソフトバンク,Naver[ﾈｲﾊﾞｰ]"	9293.29	Pending					2578.71	12.4779	65.4058	12260.2							"Internet, Telecommunications"	4689 JP	22531	Internet			Internet						14.971	11.419		
M&A	08/24/2010	三井住友信託銀行	三井住友ﾄﾗｽﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		9200.26	Completed						22.2576		9992.97		24.0992		7441.26			N.A.	8309 JP	22139	Banks	8403 JP	20472	Banks						500.775	442.09		
M&A	12/18/2019	昭和電工マテリアルズ	昭和電工		9049.94	Completed					1606.61	4.02197	22.5251	12590.1	518.417	1.95863	24.2933	5567.76			N.A.	4004 JP	32373	Chemicals	4217 JP	23095	Chemicals						288.427	0.968	138.173	126.007
M&A	12/13/2016	"Plzensky Prazdroj AS,Plzensky Prazdroj Slovensko AS,Dreher Sorgyarak Zrt,Ursus Breweries SA,Asahi CE & Europe Services AG,Sabmiller Poland BV,Asahi Brands Europe AS,SABMiller Brands Korea Yuhan Hoesa"	ｱｻﾋｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	ｱﾝﾊｲｻﾞｰ･ﾌﾞｯｼｭ･ｲﾝﾍﾞﾌﾞ	7755.52	Completed	18659	26.9668	58.1834	51415	3131.64	9.11093	37.9609	20542					ABI BB	163695	Beverages	2502 JP	29850	Beverages			Beverages				3.473	2.992	347.601	316.104		
M&A	12/20/2011	ヒューリック/旧	ヒューリック		7724.29	Completed					1206.68	28.1339	38.131	3751.81	319.287	26.5482	35.3295	938.833			N.A.	3003 JP	1934	Real Estate	3265 JP	375	Real Estate						112.107	103.512	50.645	56.795
M&A	02/24/2004	藤沢薬品工業	アステラス製薬		6873.04	Completed					1752.27	8.96687	80.402	11916.3	957.552	20.0804	66.6912	3865.18			N.A.	4503 JP	15455	Pharmaceuticals	4511 JP	7828	Pharmaceuticals						129.333	107.315		
M&A	01/30/2003	双日(旧)	日商岩井		6458.22	Completed					525.725	0.629763	4.60281	36336.2							N.A.	8063 JP	1038	Distribution/Wholesale	8004 JP	26	Distribution/Wholesale									
M&A	12/03/2015	東燃ゼネラル石油	ＥＮＥＯＳホールディングス		6373.23	Completed					6148.67	3.90962	14.7574	78295	1144.71	3.87908	9.21065	19264.4			N.A.	5020 JP	40753	Oil&Gas	5012 JP	3393	Oil&Gas						66.304	69.36	139.99	128.313
M&A	02/25/2005	第一製薬	三共		6190.71	Completed									726.89	18.7586	70.7051	3126.01			N.A.	4501 JP	300	Pharmaceuticals	4505 JP	3398	Pharmaceuticals									
M&A	01/31/2018	富士フイルムビジネスイノベーション株式会社	富士フイルムビジネスイノベーション株式会社	富士フイルムホールディングス	6135.7	Terminated	3063.61	8.68519	40.3176	21780.3									4901 JP	73275	Miscellaneous Manufactur	FUXRZ JP		Office/Business Equip	FUXRZ JP		Office/Business Equip				483.192	435.063				
M&A	03/17/2016	キヤノンメディカルシステムズ	キヤノン	東芝	5976.11	Completed	2037.39	4.13412	26.3875	29890.9	4775.36	7.09372	45.0213	32208.8					6502 JP	118131	Miscellaneous Manufactur	7751 JP	178809	Office/Business Equip	6646660Z JP		Healthcare-Products				358.776	317.913	183.458	191.625		
M&A	10/16/2018	昭和シェル石油	出光興産		5939.32	Completed					4054.55	6.60685	15.2795	45798.4	967.868	3.28123	7.7245	22598.5			N.A.	5019 JP	14044	Oil&Gas	5002 JP	4564	Oil&Gas						390.9	451.642		
M&A	05/01/2009	"ＳＭＢＣ日興証券,国内株式･債券引受業務,日興システムソリューションズ,日興グローバルラップ,日興ビジネスシステムズ"	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	シティグループ	5481.79	Completed	43983	33.5554		80619		27.1035		34490.3					C US	214000	Banks	8316 JP	86781	Banks			"Diversified Finan Serv, Computers"				7.791	9.999	517.919	492.006		
M&A	07/11/2008	新生フィナンシャル	新生銀行	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	5464.48	Completed	3807	-1.55195	19.8249	76742		20.2698		2516.61					GE US	174000	Miscellaneous Manufactur	8303 JP	5605	Banks	GECSFZ JP		Diversified Finan Serv				4.138	2.055	227.322	202.898		
M&A	04/28/2021	日立金属	日立金属	日立製作所	5454.56	Pending	10824.4	6.61216	24.8067	89251	95.5406	-4.62544	13.727	7830.48	95.5406	-4.62544	13.727	7830.48	6501 JP	353520	Machinery-Constr&Mining	5486 JP	28620	Iron/Steel	5486 JP	28620	Iron/Steel				556.813	618.99	78.02	38.587	78.02	38.587
M&A	07/08/2020	ファミリーマート	複数買収者		5413.13	Completed									1865.59	-0.446506	89.3179	4513.81			N.A.			"Distribution/Wholesale, Diversified Finan Serv"	8028 JP	13070	Retail									
M&A	06/28/2004	カネボウ	産業再生機構		5342.03	Completed									-10.2659	-21.4495	48.2248	58.3105			N.A.	IDRCJZ JP		N.A.	3102 JP	48	Cosmetics/Personal Care									
M&A	12/22/2019	ユニゾホールディングス	複数買収者		5084.69	Completed									173.139	24.3646	40.8295	374.602			N.A.			"Investment Companies, Real Estate, Private Equity"	3258 JP	182	Real Estate									
M&A	01/30/2012	ＥＭＧマーケティング合同会社	東燃ゼネラル石油	ｴｸｿﾝﾓｰﾋﾞﾙ	5020.96	Completed	24278	-9.76064	-4.03945	214658	1144.71	3.87908	9.21065	19264.4					XOM US	72000	Oil&Gas	5012 JP	3393	Oil&Gas	0134298D JP		Oil&Gas				5.081	4.469	139.99	128.313		
M&A	01/31/2020	日立ハイテク	日立製作所		4898.26	Completed					10824.4	6.61216	24.8067	89251	722.913	8.95738	26.3245	6389.68			N.A.	6501 JP	353520	Machinery-Constr&Mining	8036 JP		Electronics						556.813	618.99	493.7	403.55
M&A	12/15/2015	Japan commercial finance operation	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	4722.4	Completed	3807	-1.55195	19.8249	76742		27.1035		34490.3					GE US	174000	Miscellaneous Manufactur	8316 JP	86781	Banks			Diversified Finan Serv				4.138	2.055	517.919	492.006		
M&A	11/19/2009	三菱レイヨン	三菱ケミカルホールディングス		4707.36	Completed					3168.81	2.62126	29.4514	32526.9	381.083	1.06394	17.0938	5239.94			N.A.	4188 JP	69607	Chemicals	3404 JP	8315	Textiles						97.478	93.729		
M&A	07/29/2009	日本興亜損害保険	損害保険ジャパン日本興亜		4651.16	Completed						6.4336		30778.6							N.A.	8755 JP	33373	Insurance	8754 JP		Insurance							33.789		
M&A	01/17/2019	ネクソン	Potential Buyer		4624.01	Withdrawn									1041.39	35.1326	74.3232	2724.94			N.A.			Investment Companies	3659 JP	6407	Software								133.873	106.28
M&A	11/18/2019	田辺三菱製薬	三菱ケミカルホールディングス		4527.15	Completed					3168.81	2.62126	29.4514	32526.9	302.94	4.83472	52.6536	3575.08			N.A.	4188 JP	69607	Chemicals	4508 JP	7100	Pharmaceuticals						97.478	93.729		
M&A	07/12/2018	西友	パン・パシフィック・インターナショナルＨＤ	ｳｫﾙﾏｰﾄ	4446.82	Withdrawn	36420	4.50909	25.0978	566145	1059.95	4.75854	29.1065	16048.4	160.588	0.177638	24.2113	8646.81	WMT US	2300000	Retail	7532 JP	16838	Retail	8268 JP	5539	Retail				6.625	6.353	108.726	95.792	-445.805	-5.82
M&A	10/01/2012	ワイモバイル	ソフトバンクグループ		4388.57	Completed					87310.3	61.8798	79.1889	128081	733.519	9.06212	60.9239	2748.61			N.A.	9984 JP	58786	Telecommunications	9427 JP	1196	Internet						876.148	1007.82		
M&A	05/26/2000	大昭和製紙	日本製紙		4236.43	Completed									455.775	6.27767	21.289	2983.23			N.A.	0742344D JP	11579	Forest Products&Paper	3871 JP		Forest Products&Paper									
M&A	02/02/2007	三菱ウェルファーマ	田辺三菱製薬	三菱ケミカルホールディングス	4217.95	Completed	3168.81	2.62126	29.4514	32526.9	302.94	4.83472	52.6536	3575.08	427.268	17.7404	65.355	1928.26	4188 JP	69607	Chemicals	4508 JP	7100	Pharmaceuticals	4509 JP	6075	Pharmaceuticals				97.478	93.729				52.4
M&A	08/23/2007	三越	伊勢丹		4132.81	Completed					378.167	3.56333	28.7123	7195.11	182.931	1.09243	26.6779	6707.83			N.A.	8238 JP	9258	Retail	2779 JP	5480	Retail									
M&A	09/30/2009	あいおいニッセイ同和損害保険	MS&ADｲﾝｼｭｱﾗﾝｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ		4112.65	Completed						8.21834		43017.7							N.A.	8725 JP	41501	Insurance	8761 JP	15070	Insurance						451.005	418.508		
M&A	05/21/2012	東京電力ホールディングス	原子力損害賠償支援機構		4034.29	Completed									4563.73	1.35348		51711.2			N.A.	0450184D JP		Investment Companies	9501 JP	37891	Electric								70.557	56.66
M&A	08/01/2018	福岡空港特定運営事業等公共施設等運営権	複数買収者	国土交通省	3993.55	Pending													MOLITZ JP		N.A.			"Distribution/Wholesale, Engineering&Construction, Transportation, Electric"			Engineering&Construction									
M&A	03/10/2015	ﾕﾆｰｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	ファミリーマート		3963.53	Completed					1865.59	-0.446506	89.3179	4513.81	547.642	3.09599	25.5121	7330.29			N.A.	8028 JP	13070	Retail	8270 JP	8993	Food									-22.917
M&A	09/16/2009	ルネサステクノロジ	ルネサスエレクトロニクス	"日立製作所,三菱電機"	3947.72	Completed					2200.84	12.6588	47.6086	7437.1							Electrical Compo&Equip	6723 JP	18612	Semiconductors	RENEZ JP		Computers						118.878	106.054		
M&A	11/18/2019	Ａホールディングス	複数買収者		3815.22	Completed									203.023	-1.78697		2235.72			N.A.			"Internet, Telecommunications"	3938 JP	8233	Internet								-44.657	-139.383
M&A	10/28/2005	トーメン	豊田通商		3799.14	Completed					3525.7	3.87671	9.67812	65629.7	291.038	1.56926	4.8583	15196.7			N.A.	8015 JP	64402	Distribution/Wholesale	8003 JP	5378	Distribution/Wholesale						545.243	520.107		
M&A	11/02/2015	常陽銀行	めぶきフィナンシャルグループ		3776.22	Completed						23.837		2466.81		31.9359		1403.8			N.A.	7167 JP	6373	Diversified Finan Serv	8333 JP		Banks						41.605	37.315		
M&A	04/19/2018	ファミリーマート	伊藤忠商事		3772.07	Completed					7408.88	3.35292	17.1716	102296	1865.59	-0.446506	89.3179	4513.81			N.A.	8001 JP	125944	Distribution/Wholesale	8028 JP	13070	Retail						414.335	443.416		
M&A	09/12/2019	ZOZO	Zホールディングス		3737.5	Completed					2578.71	12.4779	65.4058	12260.2	457.03	30.3536	94.8203	1433.06			N.A.	4689 JP	22531	Internet	3092 JP	1297	Internet						14.971	11.419	129.83	116.405
M&A	12/10/2012	ルネサスエレクトロニクス	INCJ		3735.56	Completed									2200.84	12.6588	47.6086	7437.1			N.A.	INCJZ JP		Investment Companies	6723 JP	18612	Semiconductors								118.878	106.054
M&A	05/19/2020	ソニーフィナンシャルホールディングス	ソニーグループ		3668.17	Completed					13957.5	10.8483	27.3408	87230.9		5.82906		16682.9			N.A.	6758 JP	109700	Home Furnishings	8729 JP	11753	Insurance						683.457	616.949	159.67	152.94
M&A	05/29/2006	阪神電気鉄道	阪急阪神ホールディングス		3618.38	Completed					756.144	3.28679	7.50306	5725.59	365.334	6.85929	53.5121	3112.81			N.A.	9042 JP	23192	Transportation	9043 JP		Transportation						156.9	40.467		
M&A	12/16/2005	カネボウ化粧品	花王	産業再生機構	3534.15	Completed					2429.42	12.3473	42.0981	13055.8					IDRCJZ JP		N.A.	4452 JP	33409	Cosmetics/Personal Care	KNBCSZ JP		Cosmetics/Personal Care						297.281	267.982		
M&A	02/16/2004	化粧品事業	産業再生機構	カネボウ	3471.17	Completed	-10.2659	-21.4495	48.2248	58.3105									3102 JP	48	Cosmetics/Personal Care	IDRCJZ JP		N.A.			Cosmetics/Personal Care									
M&A	03/28/2007	三菱ＵＦＪ証券ホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		3390.31	Completed						25.3749		51513.7	1459.83	17.8057		3734.85			N.A.	8306 JP	138161	Banks	8615 JP	7677	Diversified Finan Serv						77.317	75.312		
M&A	01/19/2010	日本航空/旧	地域経済活性化支援機構		3294.53	Completed									-620.032	-10.777	6.08999	17275			N.A.	ETICJZ JP		N.A.	9205 JP	46287	Airlines									
M&A	06/11/2013	Thermal power system business	三菱重工業	日立製作所	3250.44	Completed	10824.4	6.61216	24.8067	89251	2784.08	3.0921	16.1111	35444.1					6501 JP	353520	Electrical Compo&Equip	7011 JP	79974	Machinery-Diversified			N.A.				556.813	618.99	330.153	282.075		
M&A	10/04/2000	ＵＦＪ信託銀行	ＵＦＪホールディングス		3237.9	Completed						-26.3051		11696.1							N.A.	8307 JP		Banks	8407 JP	3640	Banks							34214.7		
M&A	10/24/2012	ジュピターテレコム	複数買収者		3212.31	Completed									1674.82	20.2869		4087.02			N.A.			"Telecommunications, Distribution/Wholesale"	4817 JP	11468	Media									
M&A	10/27/1998	三菱石油	ＥＮＥＯＳ		3187.98	Completed					2473.53	0.908297	5.68064	73573.5							N.A.	5001 JP	6287	Oil&Gas	5004 JP	2046	Oil&Gas									
M&A	03/27/2014	ワイモバイル	Zホールディングス	ソフトバンクグループ	3171.5	Terminated	87310.3	61.8798	79.1889	128081	2578.71	12.4779	65.4058	12260.2	733.519	9.06212	60.9239	2748.61	9984 JP	58786	Telecommunications	4689 JP	22531	Internet	9427 JP	1196	Internet				876.148	1007.82	14.971	11.419		
M&A	06/08/2006	すかいらーく	複数買収者		3167.17	Completed									289.622	4.75206	66.8875	3323.65			N.A.			"Retail, Diversified Finan Serv, Private Equity"	8180 JP	34524	Retail								92.063	58.565
M&A	02/18/2005	ＵＦＪつばさ証券	三菱ＵＦＪ証券ホールディングス		3134.42	Completed					1459.83	17.8057		3734.85							N.A.	8615 JP	7677	Diversified Finan Serv	8621 JP	2885	Diversified Finan Serv									
M&A	05/27/2015	野村不動産ｵﾌｨｽﾌｧﾝﾄﾞ投資法人	野村不動産ﾏｽﾀｰﾌｧﾝﾄﾞ投資法人		3100.39	Completed					117.064	48.0716		181.004	128.598	40.5469		235.883			N.A.	3285 JP		REITS	8959 JP		REITS									
M&A	01/29/2016	ダイハツ工業	トヨタ自動車		3098.35	Completed					45716.6	10.4137	19.4197	286935	1374.69	4.93318	20.3437	14091.4			N.A.	7203 JP	372434	Auto Manufacturers	7262 JP	43197	Auto Manufacturers						221.283	199.271		111.355
M&A	03/31/2010	イー・モバイル	ワイモバイル		3088.72	Completed					733.519	9.06212	60.9239	2748.61							N.A.	9427 JP	1196	Internet	EMBLEZ JP		Internet									
M&A	05/27/2004	ソフトバンクテレコム	ソフトバンクグループ	Ripplewood Holdings LLC	3047.96	Completed					87310.3	61.8798	79.1889	128081					17167Z US	5150	Private Equity	9984 JP	58786	Telecommunications	JPNTLZ JP	4309	Telecommunications						876.148	1007.82		
M&A	07/29/2010	三洋電機	パナソニック		3009.26	Completed					6470.16	5.24915	29.8506	66680.3	1376.38	3.41116	17.9103	17757.9			N.A.	6752 JP	240202	Home Furnishings	6764 JP		Electrical Compo&Equip						118.303	104.521	3.01	1.85
M&A	09/28/2001	日動火災海上保険	東京海上ホールディングス		2975	Completed						6.61891		51724.8		4.50898		4215.98			N.A.	8766 JP	43257	Insurance	8760 JP		Insurance						501.949	467.938		
M&A	11/05/2005	帝国石油	国際石油開発		2938.63	Completed					3316.04	58.8691	61.3371	5367.23							N.A.	1604 JP		Oil&Gas	1601 JP		Oil&Gas									
M&A	09/10/2009	大和証券キャピタルマーケッツ	大和証券グループ本社	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	2919.82	Completed		27.1035		34490.3	1936.28	20.6842		5094.63					8316 JP	86781	Banks	8601 JP	15671	Diversified Finan Serv	1338Z JP		Diversified Finan Serv				517.919	492.006	61.796	59.414		
M&A	09/17/2001	田辺三菱製薬	大正製薬		2895.29	Terminated					640.874	14.7831	63.7089	3322.31	302.94	4.83472	52.6536	3575.08			N.A.	4535 JP	5622	Pharmaceuticals	4508 JP	7100	Pharmaceuticals									
M&A	01/10/2002	パナソニックモバイルコミュニケーションズ	パナソニック		2889.25	Completed					6470.16	5.24915	29.8506	66680.3	-182.886	-5.27796	15.3288	6381.21			N.A.	6752 JP	240202	Home Furnishings	6781 JP	16685	Telecommunications						118.303	104.521		
M&A	03/14/2008	足利銀行	複数買収者		2808.71	Completed										-143.729		437.304			N.A.			"Diversified Finan Serv, Private Equity"	8335 JP		Banks									
M&A	09/11/2008	明治	Meiji Seika ファルマ		2786.46	Completed					375.458	3.44523	42.0258	4633.18	463.569	2.46292	29.4577	8286.15			N.A.	2202 JP	4740	Food	2261 JP		Food									
M&A	02/01/2016	日鉄日新製鋼	日本製鉄		2783.74	Completed					4670.09	3.75005	14.5939	48848.7	318.03	0.138572	9.73752	5483.4			N.A.	5401 JP	106226	Iron/Steel	5413 JP	7859	Iron/Steel						317.183	432.033		103.45
M&A	10/31/2019	アイシン・エィ・ダブリュ	アイシン	トヨタ自動車	2750.16	Completed	45716.6	10.4137	19.4197	286935	5048.91	7.22265	14.0832	37082.2					7203 JP	372434	Auto Manufacturers	7259 JP	118359	Auto Parts&Equipment	0186426D JP		Auto Parts&Equipment				221.283	199.271	724.793	616.93		
M&A	09/24/2020	日立キャピタル	三菱HCキャピタル		2720.14	Completed					2795.05	43.1946		2123.8	1795.75	27.6012		1263.21			N.A.	8593 JP	3284	Diversified Finan Serv	8586 JP	5643	Diversified Finan Serv						71.95	74.315	327.11	262.03
M&A	11/06/2015	大樹生命保険	日本生命保険		2715.32	Completed						7.14902		74951.9		0.889467		7314.51			N.A.	0001 JP		Insurance	MILICZ JP		Insurance									
M&A	10/31/2019	7 airport concessions/Hokkaido	複数買収者	"北海道,国土交通省,Unknown Seller"	2704.2	Completed															"Airlines, Insurance, Engineering&Construction"			"Advertising, Media, Airlines, Distribution/Wholesale, Commercial Services, Banks, Insurance, Real Estate, Transportation, Electric"			Engineering&Construction									
M&A	10/30/2020	UDトラックス	いすゞ自動車	ﾎﾞﾙﾎﾞ	2694.44	Completed	7061.94	11.5206	24.5842	41831.4	2248.65	7.24447	17.2981	19821.1	216.096	2.60315	19.4601	4209.74	VOLVB SS	93072	Auto Manufacturers	7202 JP	7813	Auto Manufacturers	7210 JP	3200	Auto Manufacturers				17.043	15.221	177.327	152.953		
M&A	01/07/2003	ミノルタ	コニカミノルタ		2669.41	Completed					813.692	1.02992	43.9367	8641.79	497.779	6.91917	44.5096	4491.13			N.A.	4902 JP	40078	Miscellaneous Manufactur	7753 JP	3424	Miscellaneous Manufactur						53.314	38.487		
M&A	02/23/2000	東燃	東燃ゼネラル石油		2659.61	Completed					1144.71	3.87908	9.21065	19264.4							N.A.	5012 JP	3393	Oil&Gas	5005 JP		Oil&Gas						139.99	128.313		
M&A	04/26/2016	コカ･コーラ ボトラーズジャパン	コカ･コーラ ボトラーズジャパンホールディングス		2624.29	Completed					397.989	-2.15793	44.7885	7275.3	403.923	3.80762	48.8086	5080.16			N.A.	2579 JP	16274	Beverages	2580 JP		Beverages						-5.186	17.43		
M&A	08/31/2011	ジャパンディスプレイ	INCJ		2613.7	Completed									-118.167	-7.84969	1.71904	3002.37			N.A.	INCJZ JP		Investment Companies	6740 JP	8443	Electronics								-0.62	-10.085
M&A	12/05/2000	住友海上火災保険	三井住友海上火災保険		2578.54	Completed										3.89403		7450.69			N.A.	8752 JP	22271	Insurance	8753 JP	7498	Insurance									
M&A	07/01/2009	あおぞら銀行	新生銀行		2566.12	Terminated						20.2698		2516.61		42.0154		1171.77			N.A.	8303 JP	5605	Banks	8304 JP	2332	Banks						227.322	202.898	281.567	281.197
M&A	08/29/2012	住友軽金属工業	ＵＡＣＪ		2536.33	Completed					550.185	4.08528	13.5319	5731.68	214.723	3.7562	12.4976	2880.79			N.A.	5741 JP	9722	Metal Fabricate/Hardware	5738 JP	4701	Mining						248.291	309.976		
M&A	11/27/2020	東京ドーム	三井不動産		2511.56	Completed					2869.33	9.85877	19.5199	19247.4	-29.6167	-27.377	-12.2095	374.147			N.A.	8801 JP	23992	Real Estate	9681 JP		Leisure Time						194.464	170.356	48.22	-96.01
M&A	04/15/2016	大和ハウスリート投資法人	大和ハウスリート投資法人		2508.36	Completed					318.716	43.2651		508.683	87.0736	57.8007		109.813			N.A.	8984 JP		REITS	3263 JP		REITS									
