ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
銀座MTRビル	Unnamed Buyer	森トラスト総合リート投資法人	214.02		102.841																		
ノバレーゼ	ﾎﾟﾗﾘｽ･ｷｬﾋﾟﾀﾙ･ｸﾞﾙｰﾌﾟ		213.56	144.14			13.9818									59.5634		98.6577		37.478	0.387307	108.539	2.06009
スマートマンション事業	関西電力	長谷工コーポレーション	213.46		687.759	1374.84		59.0037		85.3114		21.6596	0.139392	376.972	4.77533								
NECソリューションイノベータ	日本電気		213.02	-2.06		1450.43		83.5862		95.3082		32.6428	0.445017	161.047	3.061			100					
5 Buildings in Tokyo	Unnamed Buyer	アドバンス・レジデンス投資法人	212.77		155.581																		
"ＵＳＣビル,Yoshiyasu Kanda building,SSP building,M-City Akasaka 1-chome building"	MCUBS MidCity投資法人		212.71			70.4865		4.47178		88.462			0.324949	92.9634	1.95726								
日新電機	住友電気工業		212.54	28.78		1074.68	143.11	55.6971		97.4061		29.8074	0.252361	91.4417	2.05454	68.865		99.528		27.7363	0.660645	46.7077	1.47982
(株) エヌ・ティ・ティ・ドコモ東北	ＮＴＴドコモ		211.97			8614.57		67.9206		99.5224		22.4286	0.332095	41.6281	1.42768								
ﾊﾞﾝｸ･ﾇｻﾝﾀﾗ･ﾊﾟﾗﾋｬﾝｶﾞﾝ	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ	"アコム,Hermawan Sentral Investama PT,Unknown Seller"	211.74			9938.88	0.855949	58.5806	2806030					2033.96	21.2251	100	471.4		439.781			511.588	6.36672
Shinjuku Eastside Square	ｼﾞｬﾊﾟﾝﾘｱﾙｴｽﾃｲﾄ投資法人	新宿六丁目特定目的会社	211.27			311.085				94.2276			0.350185	94.4125	1.92718								
NECプラットフォームズ	日本電気		210.94	2.1		1450.43		83.5862		95.3082		32.6428	0.445017	161.047	3.061								
"La Park Mizue,Vivit Minami-Funabashi,CO-OP Kobe Nishinomiya Higashi"	Unnamed Buyer	ｷｬﾋﾟﾀﾗﾝﾄﾞ	210.77		32.6712																		
パーソルキャリア	ＵＳＥＮ		210.57	25.53		90.4577		91.7258		97.2761		34.6346	0.453748	149.247	2.85			97.9716					
シンプレクス株式会社	ＳＣＫホールディングス		210.23	18.1			29.1366									80.81		99.3953		27.5111	1.6668	45.5859	1.49025
リセドロネート特許･商標	味の素	ﾌﾟﾛｸﾀｰ･ｱﾝﾄﾞ･ｷﾞｬﾝﾌﾞﾙ(P&G)	210		17986	941.482		61.1906		93.1763		23.499	0.539958	123.085	2.40237								
三井住友ﾄﾗｽﾄ･ﾛｰﾝ＆ﾌｧｲﾅﾝｽ	三井住友信託銀行	新生銀行	209.93		418.84	1479.96		61.7296	476591					2575.92	26.2766								
LNG Japan	住友商事	日商岩井	209.83			-555.441				71.9685		28.0744	0.240817	212.996	3.19565								
日本ノースシー石油	ＥＮＥＯＳ		209.72							76.2095													
松下ＩＭＰビル	MCUBS MidCity投資法人	ｴﾑｱｲﾃﾞｨｰｱｾｯﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ特定目的会社	209.59			70.4865		4.47178		88.462			0.324949	92.9634	1.95726								
8 老人ホーム	ヘルスケア＆メディカル投資法人	"三井住友ファイナンス＆リース,陽栄,合同会社ＭＹＧＫ１号,合同会社ＭＹＧＫ２号"	209.31			20.1064				90.5086			0.190091	108.962	2.08449								
シロキ工業	アイシン		209.02	-0.06		1370.93	20.2043	69.3851		96.485		26.3156	0.552277	147.735	2.84825	74.3173		93.5578		34.431	0.429239	93.2307	1.9554
"GLP川島,GLP 船橋Ⅳ,GLP 東扇島Ⅱ"	ＧＬＰ投資法人	"三井住友ファイナンス＆リース,ブルーロジスティクス3合同会社,ブルーロジスティクス5合同会社"	208.74			204.681				92.8729			0.293309	90.2127	1.90912								
セイジョー	ココカラファイン ヘルスケア		208.51	1.69			16.2783			99.3963						76.9561				31.7464	0.341959	52.2364	1.54298
IIF湘南ヘルスイノベーショ ンパーク	産業ファンド投資法人	武田薬品工業	208.4		4803.99	140.113				90.3105			2.16714	114.305	2.1715								
ダーバン	レナウン		208.38	20.37		2.53086						24.2922	0.648523	148.014	2.68892								
Hokkaido airport buildings	複数買収者	"北海道,国土交通省,Unknown Seller"	207.33																				
杏林堂グループ・ホールディングス	ツルハホールディングス		207.24			455.54		69.1664		98.5293		39.1444	0.554339	102.308	1.94248								
神鋼環境ソリューション	神戸製鋼所		206.95	23.52		286.748	53.1556	84.329		80.1847		31.5829	0.389268	255.292	3.65265	73.2928		98.888		55.0092	0.0900862	188.241	2.89623
アデランス	インテグラル		206.43	34.81			-1.03606											104.749		17.8079	0.996755	85.8732	1.90523
ＳＢＳロジコム	ＳＢＳホールディングス		206.41	28.82		102.696		79.6367		95.6039		43.6464	0.247907	367.255	4.53248								
東海ﾌﾞﾛｰﾄﾞﾊﾞﾝﾄﾞｺﾐｭﾆｹｰｼｮﾝｽﾞ	TOKAIコミュニケーションズ		206.23							93.9721													
ローン事業	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	三菱ＵＦＪ銀行	206.05		4064.65	6707.19		49.2251	1896770					1950.3	20.5074								
ｴｰｴﾑ･ﾋﾟｰｴﾑ･ｼﾞｬﾊﾟﾝ	ローソン	レックス・ホールディングス	205.8			385.954				91.3633		56.228	0.524366	407.701	5.05132								
日石横浜ビル	ジャパンエクセレント投資法人		205.61			86.1821		18.7247		89.4264			1.22067	92.8928	1.97695								
アットローン	ＳＭＢＣコンシューマーファイナンス		205.15			267.337		100			6294.46			432.08	5.31819								
広済堂ホールディングス	南青山不動産		204.91	3.84			19.0266									100		71.7949		20.2951	1.07972	104.627	2.35254
Jトラストカード	Ｎｅｘｕｓ　Ｂａｎｋ	"Ｊトラスト,エスファイナンス"	204.89			3.51705				99.9256		87.4958	0.181806	22868.3	70.9338								
ミサワホーム	トヨタ自動車		204.15	38.03		20731.6	75.8419	70.1135		98.9066		34.5245	0.434115	163.017	2.65331	79.7325		92.9255		55.2922	0.318925	367.834	4.69198
日鉄テックスエンジ	日本製鉄		204.11	13.14		-476.401	112.257			91.3944		23.3872	0.267363	160.962	2.78045	75.6454		99.4393		44.9392	0.00614288	119.606	2.12995
関西アーバン銀行	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		204.02			6707.19	87.3968	49.2251	1896770					1950.3	20.5074	32.5258	39061					2134.93	27.2077
